relative_id,relative_family,relative_level,relative_status,source_relation_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,first_break_direction,first_break_mode,break_side,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib,shared_boundary_on_break_side,first_break_relative_case,can_confirm_ib_break_from_current_fields,requires_break_price_for_ib_confirmation,inference_scope,width_error_day
IBORFB|IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-09,60,30,up,close,up,1.15607,1.15715,0.00108,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-09,60,30,up,close,up,1.15649,1.15678,0.00029,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-10,60,30,up,wick,up,1.16200,1.16203,0.00003,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-10,60,30,up,close,up,1.16448,1.16531,0.00083,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,60,30,up,wick,up,1.16361,1.16361,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-11,60,30,down,wick,down,1.16022,1.16006,0.00016,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-12,60,30,up,close,up,1.15438,1.15453,0.00015,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-12,60,30,up,close,up,1.15582,1.15608,0.00026,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-13,60,30,up,wick,up,1.15046,1.15065,0.00019,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,60,30,up,wick,up,1.14720,1.14720,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-16,60,30,down,close,down,1.14393,1.14332,0.00061,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-16,60,30,up,wick,up,1.14773,1.14814,0.00041,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-17|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-17,60,30,down,wick,down,1.14939,1.14781,0.00158,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-17|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-17,60,30,down,close,down,1.15054,1.15048,0.00006,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-18|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-18|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-18,60,30,up,close,up,1.15439,1.15468,0.00029,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-18|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-18|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-18,60,30,up,close,up,1.15424,1.15553,0.00129,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-19|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-19|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-19,60,30,down,wick,down,1.14675,1.14636,0.00039,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-19|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-19|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-19,60,30,up,wick,up,1.14779,1.14814,0.00035,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-20|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-20|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-20,60,30,down,wick,down,1.15552,1.15523,0.00029,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-20|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-20|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-20,60,30,up,wick,up,1.15625,1.15719,0.00094,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-23|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-23|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-23,60,30,down,close,down,1.15392,1.15341,0.00051,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-23|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-23|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-23,60,30,up,close,up,1.15013,1.16191,0.01178,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-24|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-24|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-24,60,30,up,wick,up,1.15847,1.15892,0.00045,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-24|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-24|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-24,60,30,up,close,up,1.15923,1.16004,0.00081,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-25|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-25|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-25,60,30,up,wick,up,1.15979,1.15981,0.00002,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-25|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-25|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-25,60,30,up,close,up,1.16054,1.16114,0.00060,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
