object_name	default_entry	parent_topic	primary_target	notes
A股研究摘要对象	10_source_library_archive/topic_entry/object_entry/ashare_research_summary_object_entry_v1.md	A股量化研究	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	适合先看研究摘要与覆盖概览
A股数据源裁决对象	10_source_library_archive/topic_entry/object_entry/ashare_data_source_decision_object_entry_v1.md	A股数据源决策	10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/02_absorb_index/ashare_p0_data_source_decision_v1.md	适合直接看项目化数据源裁决
系统吸收对象	10_source_library_archive/topic_entry/object_entry/trae_system_selected_object_entry_v1.md	系统吸收与正文回收	10_source_library_archive/batch_131_trae_system_selected_absorb__20260709/01_index/trae_system_selected_family_index_v1.tsv	适合直接看 family index 与 promotion map
外部吸收提升对象	10_source_library_archive/topic_entry/object_entry/external_absorb_recovery_object_entry_v1.md	外部吸收与回收提升	10_source_library_archive/batch_110_external_folder_absorb__20260708/02_absorb_index/trading_blogger_reference_index_v1.tsv	适合看外部吸收索引与 quantize/runtime 提升路线
多周期KD对象	10_source_library_archive/topic_entry/object_entry/kd_mtf_object_entry_v1.md	原子方法对象孵化	10_source_library_archive/batch_102_non_kimi_atomic_kd_mtf_bundle__20260707/bundle/objects/技术指标_随机指标_多周期KD共振_后续对象定义入口_v1.md	适合直接看对象入口、实施草案、字段输出路径与合同样例
RSJ状态对象	10_source_library_archive/topic_entry/object_entry/rsj_state_object_entry_v1.md	原子方法对象孵化	10_source_library_archive/batch_103_non_kimi_atomic_rsj_state_bundle__20260707/bundle/objects/技术指标_波动率_RSJ市场情绪冷暖剂_后续对象定义入口_v1.md	适合直接看对象入口、最小合同、proof 与 runtime notes
高频价量相关性对象	10_source_library_archive/topic_entry/object_entry/pv_corr_object_entry_v1.md	原子方法对象孵化	10_source_library_archive/batch_104_non_kimi_atomic_pv_corr_bundle__20260707/bundle/objects/技术指标_量价关系_高频价量相关性因子_后续对象定义入口_v1.md	适合直接看对象入口、最小合同、proof 与样本
四轴状态模板对象	10_source_library_archive/topic_entry/object_entry/four_axis_state_object_entry_v1.md	原子方法对象孵化	10_source_library_archive/batch_105_non_kimi_atomic_four_axis_state_bundle__20260707/bundle/objects/趋势系统交易_四轴状态模板_后续对象定义入口_v1.md	适合直接看对象入口、最小合同、proof 与字段头
VanTharp R对象	10_source_library_archive/topic_entry/object_entry/vantharp_r_object_entry_v1.md	原子方法对象孵化	10_source_library_archive/batch_106_non_kimi_atomic_vantharp_r_bundle__20260707/bundle/objects/风险管理_VanTharp_R乘数_期望与头寸规模_后续对象定义入口_v1.md	适合直接看对象入口、最小合同、proof 与风险样本
量化权益组合管理对象	10_source_library_archive/topic_entry/object_entry/quant_equity_portfolio_object_entry_v1.md	财报估值与组合管理	D:\Stock\trading_assistant\10_source_library_archive\mirror_kimi_inbox\GROUP_10_A5_财报_估值_组合管理\01_A5_cutpack_v1_final\5073_Quantitative_Equity_Portfolio_Management\contents.md	适合直接看 QEPM 正文目录、章节导航与量化组合管理主线
主动组合管理对象	10_source_library_archive/topic_entry/object_entry/active_portfolio_management_object_entry_v1.md	财报估值与组合管理	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/Active_Portfolio_Management/INDEX.md	适合直接看主动组合管理总索引与组合构建核心章节
上市公司财报估值对象	10_source_library_archive/topic_entry/object_entry/listed_company_valuation_object_entry_v1.md	财报估值与组合管理	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/上市公司财报分析与股票估值/INDEX.md	适合直接看中文财报指标与估值应用总索引
郭永清财报估值对象	10_source_library_archive/topic_entry/object_entry/guo_yongqing_financial_statement_object_entry_v1.md	财报估值与组合管理	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/财务报表分析与股票估值_郭永清/INDEX.md	适合直接看财报分析框架、估值章节与投资实战案例
业绩与公告事件驱动对象	10_source_library_archive/topic_entry/object_entry/earnings_announcement_event_object_entry_v1.md	事件驱动选股	10_source_library_archive/batch_142_group08_event_timing_contract_absorb__20260712/bundle/contracts/group08_event_driven_p0_min_contract_v1.md	适合直接看事件驱动最小合同、字段字典，再回看研究摘要与 cutpack
行业轮动与风格轮动对象	10_source_library_archive/topic_entry/object_entry/industry_rotation_signal_object_entry_v1.md	行业轮动与风格轮动	10_source_library_archive/batch_143_group08_rotation_style_contract_absorb__20260713/bundle/contracts/group08_rotation_style_p0_min_contract_v1.md	适合直接看行业轮动与风格轮动最小合同、字段字典，再回看研究摘要与 A-C01~A-C04
相关性选股框架对象	10_source_library_archive/topic_entry/object_entry/correlation_stock_selection_framework_object_entry_v1.md	多因子相关性选股	10_source_library_archive/batch_144_group08_corr_dynamic_contract_absorb__20260713/bundle/contracts/group08_correlation_stock_selection_p0_min_contract_v1.md	适合直接看相关性选股最小合同、字段字典，再回看全市场框架与行业迁移研究
动态因子有效性对象	10_source_library_archive/topic_entry/object_entry/dynamic_factor_validity_object_entry_v1.md	动态因子有效性	10_source_library_archive/batch_144_group08_corr_dynamic_contract_absorb__20260713/bundle/contracts/group08_dynamic_factor_validity_p0_min_contract_v1.md	适合直接看动态因子有效性最小合同、字段字典，再回看 Kalman、强弱指数与净换手率候选输入
市场择时信号对象	10_source_library_archive/topic_entry/object_entry/market_timing_signal_object_entry_v1.md	市场择时信号	10_source_library_archive/batch_142_group08_event_timing_contract_absorb__20260712/bundle/contracts/group08_market_timing_p0_min_contract_v1.md	适合直接看市场择时最小合同、字段字典，再回看研究摘要与 cutpack
