theme_cluster	anchor_id	excerpt_card_id	theme_tag	page_or_loc	excerpt_file	note
planning_and_process	YZ-A01	YZ-A01-1	plan_discipline	p3	YZ_A01_MIN_EXCERPTS__2026-06-26.md	复盘计划先行/无标的不交易
planning_and_process	YZ-A01	YZ-A01-2	slow_down_and_reflect	p4	YZ_A01_MIN_EXCERPTS__2026-06-26.md	放慢脚步/理智决策/反思
planning_and_process	YZ-A02	YZ-A02-1	no_impulse_trade	p4	YZ_A02_MIN_EXCERPTS__2026-06-26.md	无标的不出手/计划先行
execution_discipline	YZ-A01	YZ-A01-3	operation_vs_profit	p7	YZ_A01_MIN_EXCERPTS__2026-06-26.md	操作对错与盈亏分离/错了就割
execution_discipline	YZ-A02	YZ-A02-2	cut_loss_no_fantasy	p5	YZ_A02_MIN_EXCERPTS__2026-06-26.md	按计划止损/不因割后上涨动摇
psychology_state	YZ-A02	YZ-A02-3	post_win_drawdown	p7	YZ_A02_MIN_EXCERPTS__2026-06-26.md	连胜自信膨胀导致大回撤
psychology_state	YZ-A02	YZ-A02-4	three_alert_states	p8	YZ_A02_MIN_EXCERPTS__2026-06-26.md	踏空/连胜/大亏三类高风险状态
psychology_state	YZ-A03	YZ-A03-1	three_alert_states	p3	YZ_A03_MIN_EXCERPTS__2026-06-26.md	重复锚点：三类高风险状态
waiting_and_patience	YZ-A03	YZ-A03-2	true_cash_waiting	p4	YZ_A03_MIN_EXCERPTS__2026-06-26.md	空仓是主动等待而非回避
mindset_bias	YZ-A03	YZ-A03-3	ignore_form_bias	p5	YZ_A03_MIN_EXCERPTS__2026-06-26.md	去形式偏执/回到收益本质
