页面区块	插槽名	设计锚点行号	实际数据源字段	实际JSON路径	填充状态	HTML文件名	匹配规则类型
盘前方向卡/preopen	trade_date / 交易日	空壳合同#67	trade_date / dates[].date	ladder_day__*.json > dates[0].date	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	bias_preopen / 今日偏强偏弱(判断格)	空壳合同#68	人工判断(不可预填)	—	待补(人工)	(V1 base contract)	V1继承
盘前方向卡/preopen	watch_sectors / 该盯板块(判断格)	空壳合同#69	人工判断(可参考sector前5)	sector.data.rows[:5].sectorName	待补(人工)	(V1 base contract)	V1继承
盘前方向卡/preopen	watch_symbols / 该盯标的(判断格)	空壳合同#70	人工判断(可参考天梯高标)	ladder.boards[-1].stocks[].name	待补(人工)	(V1 base contract)	V1继承
盘前方向卡/preopen	最高板 / T1 / 市场高度	预填设计稿#L12	MAX(boards[].level) + 首只标的名	ladder.dates[0].boards[-1].level / stocks[0].name	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	P_ge2 / ≥2板数 / 连板梯队	预填设计稿#L12	SUM(boards[level>=2].stocks.Count)	ladder.dates[0].boards[level>=2].stocks.length 求和	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	总连板池 / totalStocks	预填设计稿#L12	totalStocks	ladder.dates[0].totalStocks	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	梯队分布(5板x2/3板x2/2板x9/1板x86)	workbench_0810#L12	boards[].(level, len(stocks))	ladder.dates[0].boards[*].[level,stocks.length]	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	ladder_yesterday_fact / 连板结构摘要	空壳合同#71	昨日 ladder json 聚合	ladder_day_min__{prev_date}.json	已就绪(有昨日快照)	(V1 base contract)	V1继承
盘前方向卡/preopen	sector_snapshot_ref / 行业快照路径	空壳合同#72	最近sector文件绝对路径	sector_capital_flow_snapshot__{date}.json	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	行业Top5 / 主力净额前5板块	workbench_0810#L14	rows[:5].sectorName + mainNetAmount	sector.data.rows[:5].[sectorName,mainNetAmount]	已就绪	(V1 base contract)	V1继承
盘前方向卡/preopen	p1_auction_ref / P1竞价段引用	空壳合同#73	P1 日记录 md 路径	shortline_funding_gap/.../daily/p1_day__{date}.md	已就绪(有同批)	(V1 base contract)	V1继承
盘前方向卡/preopen	live_room_note / 直播间方向摘要	空壳合同#74	A桶9房 NOTES.今日要点 合并	rooms/<A9房>/20_absorb/NOTES.md > 今日要点	待补(需导出Raw)	(V1 base contract)	V1继承
盘前方向卡/preopen	情绪标签	工作台裁决#L20	人工(可参考 pauseRatio/连板扩张)	ladder.dates[0].pauseRatio + totalStocks.diff(prev)	待补(半可推导)	(V1 base contract)	V1继承
盘前方向卡/preopen	one_liner / 盘前一句话(判断格)	空壳合同#75	人工	—	待补(人工)	(V1 base contract)	V1继承
盘中确认卡/intraday	trade_date / 交易日	空壳合同#87	同盘前	同盘前	已就绪	(V1 base contract)	V1继承
盘中确认卡/intraday	confirm_10_00 / 10:00资金确认(判断格)	空壳合同#88	人工+P1盘中段	p1_day.md > 10:00段	待补(人工)	(V1 base contract)	V1继承
盘中确认卡/intraday	confirm_13_30 / 13:30资金确认(判断格)	空壳合同#89	人工+P1盘中段	p1_day.md > 13:30段	待补(人工)	(V1 base contract)	V1继承
盘中确认卡/intraday	confirm_14_30 / 14:30确认(可选判断格)	空壳合同#90	人工	—	待补(人工)	(V1 base contract)	V1继承
盘中确认卡/intraday	still_watch / 仍值得盯(判断格)	空壳合同#91	人工+天梯盘中变化	实时连板(暂无)	待补(人工)	(V1 base contract)	V1继承
