theme_cluster	frozen_file	line_range	evidence_key	why_match	note
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L222-L226	m05_synergy_principles	中军/龙头/补涨的层级与“中军先动/中军稳则题材续/中军倒则全线撤”属于主线/龙头框架	主题簇级对照，不并旧卡号；顺口=A1 先看中军、龙头、补涨是不是同向协同，再回 m05 定主线有没有成形
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L117-L126	m05_roles_table	“中军/龙头/补涨”的角色区分与资金性质（合力/游资主导）支持“龙头+合力/主线”语义	用于对照 YZ-B03/YZ-B04 的主线与人气叙事；顺口=A1 先分清中军/龙头/补涨是谁，再回 m05 定谁是主线、谁只是跟随
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L223-L227	m05_midcap_sync_rules	中军先动/中军稳则题材续/中军倒则全线撤/补涨活跃是末期，与 YZ-B 的主线确认和龙头聚焦同主题；可作为“群体性退潮代理”的旧冻结层主证据	主线协同、群体性退潮代理与末期识别主证据；A1 二层只加厚“中军倒则全线撤/补涨活跃是末期”的观察解释；维护态速记=先看 A1 的退潮体感，再回到主证据确认；二层读法=先用 A1 看中军先动/中军倒则撤体感，再回 m05 主证据定主线；顺口=A1 先看中军先动还是中军转弱，再回 m05 定主线是否还成立；中军倒就撤，补涨热是末期，不拿补涨当主线
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L247-L248	m05_no_midcap_no_chase	无中军确认禁止参与龙头和补涨，撤退顺序不可逆，与 YZ-B 的主线纪律和风险过滤同主题	无中军不参与证据；顺口=A1 先看有没有中军确认，再回 m05 决定能不能参与龙头和补涨
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L128-L131	m05_midcap_timing	发酵第1-5天确认中军、发酵第1天补涨更多是低位套利，与 YZ-B 的“确认后参与主线/不抢过早补涨”同主题；可作为“板块扩散效应”的旧冻结层主证据	中军识别时机与板块扩散效应主证据；A1/G08 二层只加厚确认阶段板块联动与补涨扩散解释；二层读法=先用 A1 看中军时机，再回 m05 主证据定主线，G08 只补确认后扩散；顺口=A1 先看是否到了确认中军的时机，再回 m05 决定能不能把补涨当扩散而不是主线
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L231-L236	m05_tide_stage_switch_table	发酵/高潮/分化/退潮四阶段与建仓/满仓/减仓/清仓的操作切换直接覆盖 YZ-B 的群体性退潮分档与退潮阶段切换语义，可明确归为阶段切换层主证据	四阶段推进与阶段切换层主证据；A1 二层只补冰点/修复/混沌等阶段体感分档解释；维护态速记=先看 A1 的阶段体感，再回主证据切层；顺口=A1 先判所处阶段体感（冰点/修复/混沌），回 m05 四阶段决定仓位档位
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L80-L86	m05_fade_criteria	题材退潮综合判定条目化，与 YZ-B01 的“高潮退场/退潮止损”同主题；可作为群体性退潮判据主证据，与四阶段推进/阶段切换形成双锚	退潮综合判定判据层主证据；A1 二层只补龙头跌幅/炸板率/涨停溢价等退潮观察代理；维护态速记=先看 A1 的退潮体感，再回主证据判定；顺口=A1 先看退潮体感（跌幅/炸板/溢价/跌停），回 m05 条目化判定退潮
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L37-L42	m05_tide_clear_rule	题材退潮信号出现立即清仓，与 YZ-B 的退潮撤退纪律同主题；用于承接退潮后的动作层，不上升为判据层	退潮动作层证据；顺口=动作层只执行：退潮信号一出就清仓，不再用 A1/G08 争辩补救
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L67-L73	m05_fifth_sell_tide_exit	五卖（题材退潮）=立即清仓，与 YZ-B 的题材末期撤退动作同主题；用于承接退潮后的动作层，不上升为判据层	退潮五卖动作层证据；顺口=动作层只执行：五卖=退潮=立即清仓，不把“还能不能涨”当讨论题
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L239-L243	m05_retreat_order	补涨先撤、龙头次撤、中军后撤的阶段撤退顺序，与 YZ-B 的主线/补涨撤退层级同主题	撤退顺序主证据；A1 二层只补老题材流出/新题材低位承接的切换观察；维护态速记=先看 A1 的撤退顺序体感，再回主证据定层级；顺口=A1 先按撤退顺序体感看谁先退，回 m05 定补涨/龙头/中军层级
