paper_id	source_path_before	suggested_dest_path	source_exists	dest_exists	postcheck_status
A-001	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	0	1	MOVED_OK
A-002	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	0	1	MOVED_OK
A-003	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	0	1	MOVED_OK
A-004	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	0	1	MOVED_OK
A-005	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	0	1	MOVED_OK
A-006	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	0	1	MOVED_OK
A-007	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	0	1	MOVED_OK
A-008	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	0	1	MOVED_OK
A-009	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf	0	1	MOVED_OK
A-010	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf	0	1	MOVED_OK
