theme_cluster	anchor_id	excerpt_card_id	theme_tag	page_or_loc	excerpt_file	note
leader_and_mainline	YZ-B02	YZ-B02-1	leader_confirm_timing	p1	YZ_B02_MIN_EXCERPTS__2026-06-26.md	龙头确认偏好
leader_and_mainline	YZ-B03	YZ-B03-2	dragon_head_focus	p2	YZ_B03_MIN_EXCERPTS__2026-06-26.md	聚焦龙头而非手法
leader_and_mainline	YZ-B04	YZ-B04-4	mainline_hotspot_first_board	p6	YZ_B04_MIN_EXCERPTS__2026-06-26.md	主线热点与人气核心
leader_and_mainline	YZ-B01	YZ-B01-2	leader_to_followup_spread	epub:main.xhtml#p7-p8	YZ_B01_MIN_EXCERPTS__2026-06-26.md	龙头后补涨扩散
topic_cycle	YZ-B01	YZ-B01-1	topic_hype_definition	epub:main.xhtml#p4	YZ_B01_MIN_EXCERPTS__2026-06-26.md	题材炒作最小定义
topic_cycle	YZ-B01	YZ-B01-4	follow_heat_buy_disagreement	epub:main.xhtml#p67-p69	YZ_B01_MIN_EXCERPTS__2026-06-26.md	分歧买入与高潮退场
topic_cycle	YZ-B01	YZ-B01-3	theme_exit_no_fantasy	epub:main.xhtml#p47	YZ_B01_MIN_EXCERPTS__2026-06-26.md	退潮止损硬约束
topic_cycle	YZ-B02	YZ-B02-2	hotspot_attack_retreat	p1	YZ_B02_MIN_EXCERPTS__2026-06-26.md	热点进攻/撤退节奏
topic_cycle	YZ-B02	YZ-B02-3	new_theme_over_old	p1	YZ_B02_MIN_EXCERPTS__2026-06-26.md	新题材优先于旧题材
execution_discipline	YZ-B03	YZ-B03-1	correct_operation_first	p1	YZ_B03_MIN_EXCERPTS__2026-06-26.md	先做正确操作再谈盈利
execution_discipline	YZ-B03	YZ-B03-3	follow_mainstream_fast	p2	YZ_B03_MIN_EXCERPTS__2026-06-26.md	跟主流+快纠错
execution_discipline	YZ-B02	YZ-B02-4	cut_loss_fast_reset	p3	YZ_B02_MIN_EXCERPTS__2026-06-26.md	第二个集合割与快速复位
risk_filter	YZ-B03	YZ-B03-4	risk_filter_and_cowin_board	p2-p3	YZ_B03_MIN_EXCERPTS__2026-06-26.md	过滤风险+共赢板
risk_filter	YZ-B04	YZ-B04-3	late_day_raid_tail_pull	p4	YZ_B04_MIN_EXCERPTS__2026-06-26.md	尾盘偷袭与风险可控解释
intraday_shape	YZ-B04	YZ-B04-2	emotion_reversal_long_leg	p3	YZ_B04_MIN_EXCERPTS__2026-06-26.md	主线情绪逆转大长腿（观察项）
intraday_shape	YZ-B04	YZ-B04-3	late_day_raid_tail_pull	p4	YZ_B04_MIN_EXCERPTS__2026-06-26.md	尾盘形态（观察项）
