lifted_rel_path	proposed_target_rel_path	basename	candidate_count	candidate_paths	size_bytes	sha256
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	1092	d722947b760eaedbf87d8a4e34241d432a114898b6b99b736b50cbad1f57e801
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	807	823f114a4a6b1b987ddc4ec9f200b773463b90423dd749e5eaeda3dc5b9f49ba
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	1086	318965d2628263155db5378590da8763a5715b8fd18479e55838d22000155517
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/02_A3C1_cutpack_v2/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/02_A3C1_cutpack_v2/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	741	d5394a9af407893742872742338189dbe6ef23082f4cdd9d5a0526ec4ca4ee2f
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/02_A3C1_cutpack_v2_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/02_A3C1_cutpack_v2_final/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	825	fe5d2eb315f1279cd19bd91f8f7f3fa735eb6c557b8411a51c6d750ed4b1e4b1
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/03_A3_extra_cutpack_v2_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/03_A3_extra_cutpack_v2_final/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	611	553a94bfeaf11978d925f84480ef659a94639d39363f5de39ba1d048d6eb99db
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/04_A4_cutpack_v2_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/04_A4_cutpack_v2_final/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	458	015dc8c277fbe12d6d496837a1c90c9214cd40b022be037f0928ca8639b99f63
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	1972	27f2864f2f72ac0167928ce5489783d38c1300422901a5b9f2aca9cc0bb79edc
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/README_放这里.md	README_放这里.md	5	GROUP_08_A股量化_数据研究/README_放这里.md|GROUP_09_完善体系书库_切割产物/README_放这里.md|GROUP_10_A5_财报_估值_组合管理/README_放这里.md|GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/README_放这里.md|GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/README_放这里.md	2615	c87313b9553cd589906dfb0f4dbe6b9bb98aecdb6bd15590d380db0d8ed721e4
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/A股上市公司毛利率的均值回归及选股实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/A股上市公司毛利率的均值回归及选股实证.pdf	A股上市公司毛利率的均值回归及选股实证.pdf	1	GROUP_08_A股量化_数据研究/00_external_import_staging/confirmed_bookdir/量化选股 40份/财务指标选股研究系列/A股上市公司毛利率的均值回归及选股实证.pdf	468909	5b8f308dae51bc79437553187f3d6d0e0f1eae2ca67cf7e739c1cbf3a67725e7
