asset_id	asset_name	asset_type	market_coverage	domain	maturity	primary_entry_path	what_it_can_do	completeness	gaps	suggested_use
A_ASSET_001	来源库总入口与索引层	source_index	repo_global	all	first_hop	file:///D:/Stock/trading_assistant/10_source_library_archive/README.md	按 topic/object/batch 检索与回链全库资料；支撑全盘点与缺口定位	high	需要持续维护索引与新增批次回链	作为资料盘点主入口与导航层
A_ASSET_002	A股量化研究（GROUP_08）	knowledge_cluster	A股	研究/策略研究	contract_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	事件/择时/轮动/相关性/动态因子等研究线索与合同层对象入口	medium	部分材料仍在 mirror_kimi_inbox，需继续提升为更稳定对象入口	用于定义A股研究需求与信号族边界，作为合同层骨架
A_ASSET_003	GROUP_08 合同层吸收批（batch_142~144）	batch_contract	A股	研究合同/对象卡	contract_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_142_group08_event_timing_contract_absorb__20260712/README.md	将研究材料抽象成合同层结构（输入/输出/降级/边界）	high	仍需在后续阶段把合同映射到 runtime 输入与对象卡验收	用于把“研究→可解释对象”落到可执行合同口径
A_ASSET_004	财报估值与组合管理（GROUP_10_A5）	knowledge_cluster	A股为主/通用	基本面/组合	2nd_hop_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	财报分析/估值/主动与量化组合管理的对象入口与章节索引；当前已支持 A_REQ_002 最小因子字段表/验收例/映射说明，以及 A_REQ_003 风险模型候选清单/字段映射表/最小验收口径	high	下一步继续把已落字段族与组合风险模型推进到对象卡/合同层正式字段口径	用于定义基本面处理链路与组合管理需求，并作为 A_REQ_002 与 A_REQ_003 的第一顺位主资料资产
A_ASSET_005	原子方法对象束（KD/RSJ/PV Corr/FourAxis/VanTharpR）	stable_bundle	通用/偏技术面	技术面/风控	2nd_hop_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_102_non_kimi_atomic_kd_mtf_bundle__20260707/README.md	提供可复用的指标/状态模板与风险计量语言	high	需要按目标市场补足数据粒度映射（分钟/日线）	用于技术面指标库与风控/仓位统一语言
A_ASSET_006	TK外汇边界与second-hop（batch_99）	boundary_batch	外汇	技术面/规则壳	boundary_plus_second_hop	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_99_non_kimi_tkfx_boundary__20260707/README.md	外汇体系的对象壳、证据壳与降级映射入口	medium	更多示例与字段逐列对照仍可深化（非阻塞）	用于“借鉴系统对照”与外汇市场需求定义
A_ASSET_007	NFTRADEZ 方法参考包（batch_108）	stable_bundle	通用	系统借鉴	1st_hop_plus	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_108_non_kimi_nftradez_method_bundle__20260707/README.md	可借鉴交易系统条目簇与模板化线索	medium	更细落点映射与样例卡可继续补强	用于“博主/系统借鉴池”的候选来源
A_ASSET_008	Smile_SMC 交易系统2.0（batch_109）	stable_bundle	通用/偏技术面	系统借鉴	1st_hop_plus	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_109_non_kimi_smile_smc_method_bundle__20260707/README.md	SMC体系方法参考、结构化过程文字化入口	medium	仍缺更细 raw video_screenshots 证据位深化	用于“系统借鉴池”与反例验证
A_ASSET_009	外部资源吸收批（batch_110）	external_absorb	多市场	学习资源/系统蓝图	1st_hop_plus	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_110_external_folder_absorb__20260708/README.md	外部资料线索库+交易博主参考+系统蓝图	medium	多数为线索型，需要按需求筛选后再硬化入档	用于补采池与“下一轮学习资源筛选”
A_ASSET_010	交易博主与视频学习参考清单	learning_list	多市场	学习资源	guide_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_110_external_folder_absorb__20260708/01_kimi_outputs/TRADING_BLOGGER_REFERENCE_v1.0.md	按对象卡映射学习视频/博主，提供可提取规则方向	medium	需把“可提取规则”转换为对象/字段模板	用于指导补采优先级与学习路径
A_ASSET_011	A股数据源裁决（batch_140）	decision_doc	A股	数据/工程	decision_ready	file:///D:/Stock/trading_assistant/10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/README.md	明确A股数据源路线、权限/成本/降级与可复现性；当前已支撑 A_REQ_001 数据可得性与成本裁决补页	high	分钟级历史数据仍受权限/采购影响，minute formalize 与 provider friction 仍可继续补证	用于需求矩阵里的“数据可得性/成本”评估
A_ASSET_012	Runtime对象卡与验收矩阵	runtime_asset	A股为主	工程/对象卡	runtime_ready	file:///D:/Stock/trading_assistant/01_active_objects/butler_r0_object_cards_p0/object_cards_p0_acceptance_matrix_v1.tsv	定义每张对象卡最小样本与验收，支持可复现运行；当前也为 A_REQ_001 的 daily formal raw 边界提供 runtime 侧锚点	medium	更多市场与更多对象卡需逐步补齐，分钟级 formal raw 仍未统一入 catalog	用于把需求落到可执行验收
