card_id	field_key	field_type	required	fill_by	source_preference	question_zh
preopen	trade_date	fact	yes	human_or_prefill	口令/日历	交易日
preopen	bias_preopen	judgment	yes	human	P1竞价+昨日结构	今天偏强还是偏弱
preopen	watch_sectors	judgment	yes	human	sector快照+天梯	该盯哪些板块
preopen	watch_symbols	judgment	yes	human	P1+方向房摘要	该盯哪些标的
preopen	ladder_yesterday_fact	fact	no	prefill_ok	连板天梯昨日	昨日结构事实
preopen	sector_snapshot_ref	fact	no	prefill_ok	最近sector快照路径	板块资金快照引用
preopen	p1_auction_ref	fact	no	prefill_ok	当日P1竞价段	P1竞价引用
preopen	live_room_note	fact_or_summary	no	human	方向房少量人话	直播间方向摘要
preopen	one_liner	judgment	yes	human	综合	盘前一句话
intraday	trade_date	fact	yes	human_or_prefill	口令/日历	交易日
intraday	confirm_10_00	judgment	yes	human	P1盘中跟随	10:00资金是否确认
intraday	confirm_13_30	judgment	yes	human	P1盘中跟随	13:30资金是否确认
intraday	confirm_14_30	judgment	no	human	P1盘中跟随可选	14:30可选确认
intraday	still_watch	judgment	yes	human	观察池收敛	谁还值得盯
intraday	live_turn_note	fact_or_summary	no	human	片段优先房	直播间转折解释
intraday	one_liner	judgment	yes	human	综合	盘中一句话
afterclose	trade_date	fact	yes	human_or_prefill	口令/日历	交易日
afterclose	judge_ok	judgment	yes	human	回看	今天判断对不对
afterclose	most_useful	judgment	yes	human	回看	真正有用的信息来自哪里
afterclose	most_useless	judgment	no	human	回看	最没用的是什么
afterclose	ladder_result_fact	fact	no	prefill_ok	连板天梯当日结构	结构结果事实
afterclose	sector_eod_ref	fact	no	prefill_ok	sector当日快照	板块资金收盘引用
afterclose	keep_to_longterm	judgment	no	human	直播间短名单口径	哪些值得沉长期库
afterclose	p1_incremental_value	judgment	yes	human	P1收盘回看	P1是否有增量价值
afterclose	one_liner	judgment	yes	human	综合	盘后一句话
