path	file_type	producer	scope	status	evidence_mode	note
README.md	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	index_note	runtime root note
runtime_execution_card_v1.md	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	index_note	execution boundary and commands
fv_gate_v0_runtime_params_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	minimal runtime params template
fv_gate_v0_runtime_params_round2_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	round2 hook params template referencing signal combo and evaluation cards
fv_gate_v0_runtime_params_round2_breakout_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	breakout control params template for round2 comparison
fv_gate_v0_runtime_params_round3_trend_filter_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	round3 strict trend filter probe that may trigger over-strict failure
fv_gate_v0_runtime_params_round3_trend_risklite_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	round3 risklite refinement on trend pullback candidate
fv_gate_v0_runtime_params_round4_rankdecay_risklite_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	round4 rank-decay plus risklite refinement on trend pullback candidate
fv_gate_v0_runtime_params_current_best_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	current best frozen params template for future comparisons
fv_gate_v1_sample_boundary_runtime_params_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	adjacent window replay params template for fv gate v1 sample boundary
fv_gate_cost_sensitivity_v0_band_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	small cost band template for first new evidence type under v1 frozen contract
data/fv_gate_v0_scorecard_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	minimal scorecard contract template
run_fv_gate_v0_minimal_backtest_v1.py	GENERATOR	manual	a5_g5_financial_validity_gate_v0	active	generator	minimal static-weight backtest runner with holdout and degraded fixed cost
run_fv_gate_v0_round2_chain_v1.py	GENERATOR	manual	a5_g5_financial_validity_gate_v0	active	generator	round2 chain runner from signal hypothesis to tw pte apw and fv scorecard
