type_id,source_name,source_kind,author_or_team,source_url,artifact_url,artifact_local_path,why_collect,data_dependency,repaint_risk,free_or_paid,download_method,status,notes
N01,Volatility Regimes | GainzAlgo,TradingView open-source page,GainzAlgo,https://www.tradingview.com/script/aZUlxrYQ-Volatility-Regimes-GainzAlgo/,https://www.tradingview.com/script/aZUlxrYQ-Volatility-Regimes-GainzAlgo/,N01_波动率状态机\Volatility_Regimes__GainzAlgo__page_excerpt.md,四象限 regime + normalized ATR + efficiency ratio 说明完整,OHLC,medium,free,manual page save,excerpt_saved,已补到同标题索引正文证据: ATR ratio/baseline/4档regime/2-stage confirmation；secondary_structured_note_conflict=Kimi状态稿仅作访问失败/疑似闭源线索，不得覆盖现有 page excerpt；仍待源码页
N01,Squeeze - indicator for MetaTrader 5,MQL5 CodeBase,Mladen Rakic,https://www.mql5.com/en/code/24731,https://www.mql5.com/en/code/24731/,N01_波动率状态机\Squeeze__MQL5__page_excerpt.md,标准差 vs ATR 的 squeeze 定义清晰,OHLC,low,free,manual page/code download,excerpt_saved,已落页面摘录；后续可继续补 .mq5 源码
N01,TTM Squeeze Pro,TradingView open-source page,Beardy_Fred,https://www.tradingview.com/script/0drMdHsO-TTM-Squeeze-Pro/,https://www.tradingview.com/script/0drMdHsO-TTM-Squeeze-Pro/,N01_波动率状态机\TTM_Squeeze_Pro__TradingView_page_excerpt.md,三档 squeeze compression 与 fired 状态定义清晰,OHLC,low,free,manual page save,excerpt_saved,已落索引正文摘录；secondary_structured_note=Kimi已补完整57行 Pine 代码、四态定义与 fired 逻辑，可视为实质性补全；适合补 squeeze_tier / squeeze_fired 字段
N01,AG Pro ATR Compression Map,TradingView open-source page,AGPro Series,https://il.tradingview.com/script/nCbbDHVD-AG-Pro-ATR-Compression-Map-AGPro-Series/,https://il.tradingview.com/script/nCbbDHVD-AG-Pro-ATR-Compression-Map-AGPro-Series/,N01_波动率状态机\AG_Pro_ATR_Compression_Map__page_excerpt.md,压缩质量评分与状态分类适合补充 compression quality 框架,OHLC,low,free,manual page save,excerpt_saved,已落索引正文摘录；secondary_structured_note=Kimi已补状态枚举 Loose/Building/Tight/Mature、权重 30/30/20/20、阈值 62/80 与参数面板骨架；仍待核心计算段源码页
N01,ATR Regime Study [CHE],TradingView open-source page,CHE,https://www.tradingview.com/script/uHAIENY5/,https://www.tradingview.com/script/uHAIENY5/,N01_波动率状态机\ATR_Regime_Study__CHE__page_excerpt.md,ATR percentile 五档 regime 与 extreme/squeeze 阈值清晰,OHLC,low,free,manual page save,excerpt_saved,已落索引正文摘录；适合补 atr_percentile_regime 字段
N01,TTM Squeeze [Alorse],GitHub raw pine,Alorse,https://github.com/Alorse/pinescript-strategies/blob/master/indicators/TTM%20Squeeze.pine,https://github.com/Alorse/pinescript-strategies/raw/master/indicators/TTM%20Squeeze.pine,N01_波动率状态机\TTM_Squeeze__Alorse.pine,最小化 TTM Squeeze 公式骨架,OHLC,low,free,download raw,downloaded,已落本地文件
N01,TTM-Squeeze-Pro,GitHub raw pine,vijankush / Beardy_Fred,https://github.com/vijankush/Stocks-PineScript-TradingView/blob/main/TTM-Squeeze-Pro,https://github.com/vijankush/Stocks-PineScript-TradingView/raw/main/TTM-Squeeze-Pro,N01_波动率状态机\TTM-Squeeze-Pro__vijankush.pine,多压缩等级版本,OHLC,low,free,download raw,downloaded,已落本地文件
N01,VolScope README,GitHub README,alexander-zee,https://github.com/alexander-zee/volscope,https://github.com/alexander-zee/volscope/raw/main/README.md,N01_波动率状态机\README__volscope.md,realized vol + regime classification + persistence 说明,OHLC,none,free,download raw,downloaded,偏研究说明不是交易脚本且主要基于日频窗口
N02,Opening Range Breakout script,GitHub raw pine,joveteo,https://github.com/joveteo/trading-view-scripts/blob/28847604fb6fef200b9b09cd6445b5299ed035bc/Opening%20Range%20Breakout/opening_range_breakout,https://github.com/joveteo/trading-view-scripts/raw/28847604fb6fef200b9b09cd6445b5299ed035bc/Opening%20Range%20Breakout/opening_range_breakout,N02_时段_开盘区间结构\opening_range_breakout__joveteo.pine,可直接审计 ORB 计算和 session 参数,OHLC+session time,low,free,download raw,downloaded,已落本地文件
N02,Opening Range Breakout README,GitHub README,joveteo,https://github.com/joveteo/trading-view-scripts/blob/28847604fb6fef200b9b09cd6445b5299ed035bc/Opening%20Range%20Breakout/README.md,https://github.com/joveteo/trading-view-scripts/raw/28847604fb6fef200b9b09cd6445b5299ed035bc/Opening%20Range%20Breakout/README.md,N02_时段_开盘区间结构\README__joveteo_orb.md,功能和参数说明详细,OHLC+session time,low,free,download raw,downloaded,已落本地文件
N02,Opening Range Breakout USER_GUIDE,GitHub guide,joveteo,https://github.com/joveteo/trading-view-scripts/blob/dd7c9dbd98ad8f3ac55e7d59bd8194e4601e16af/Opening%20Range%20Breakout/USER_GUIDE.md,https://github.com/joveteo/trading-view-scripts/raw/dd7c9dbd98ad8f3ac55e7d59bd8194e4601e16af/Opening%20Range%20Breakout/USER_GUIDE.md,N02_时段_开盘区间结构\USER_GUIDE__joveteo_orb.md,含 session/timezone/推荐窗口,OHLC+session time,low,free,download raw,downloaded,已落本地文件
N02,Initial Balance Breakout Strategy for Day Traders,Public article,MarketProfile.info,https://marketprofile.info/articles/initial-balance-breakout-strategy,https://marketprofile.info/articles/initial-balance-breakout-strategy,N02_时段_开盘区间结构\Initial_Balance_Breakout__page_excerpt.md,IB 定义和 breakout acceptance 解释清晰,OHLC+session time,none,free,save webpage,excerpt_saved,已落页面摘录；secondary_structured_note=Kimi已补更完整正文、breakout 类型、failed breakout 与风险管理说明；适合作定义说明，仍非源码级证据
N03,BOS & ChoCh Market Structure,TradingView open-source page,Dinkelfras,https://www.tradingview.com/script/UNz4BxUN-BOS-ChoCh-Market-Structure/,https://www.tradingview.com/script/UNz4BxUN-BOS-ChoCh-Market-Structure/,N03_市场结构_突破质量_条件收集\BOS_ChoCh_Market_Structure__page_excerpt.md,close/wick breakout confirmation 选项明确,OHLC,medium,free,manual page save,excerpt_saved,已落页面摘录；适合作定义和审计口径
N03,Institutional Market Structure BOS and CHoCH,TradingView open-source page,algo_aakash,https://fr.tradingview.com/script/UjDVwAtJ-Institutional-Market-Structure-BOS-and-CHoCH-algo-aakash/,https://fr.tradingview.com/script/UjDVwAtJ-Institutional-Market-Structure-BOS-and-CHoCH-algo-aakash/,N03_市场结构_突破质量_条件收集\Institutional_Market_Structure_BOS_CHoCH__algo_aakash__page_excerpt.md,confirmed swings + close-confirmed break + extra confluence 的分层口径清晰,OHLC+volume,medium,free,manual page save,excerpt_saved,已落索引正文摘录；secondary_structured_note=Kimi已补 pivot 函数片段、swingLen/internalLen、位移阈值与 confluence 四因子；适合作定义层与过滤层拆分样本，仍待完整源码核验
N03,Smart Money Concepts - Regime-Adaptive SMC,TradingView open-source page,Dots3Red,https://www.tradingview.com/script/OHQsRH7Z-Smart-Money-Concepts-Regime-Adaptive-SMC-Dots3Red/,https://www.tradingview.com/script/OHQsRH7Z-Smart-Money-Concepts-Regime-Adaptive-SMC-Dots3Red/,N03_市场结构_突破质量_条件收集\Regime_Adaptive_SMC__Dots3Red__page_excerpt.md,confirmed pivot 最终稳定与结构标签标准延迟的披露非常适合审计样本,OHLC+volume,medium,free,manual page save,excerpt_saved,已落索引正文摘录；secondary_structured_note=Kimi已补 ADX+Choppiness+ATR Spike 组合口径、pivot_len/conf_mode 参数与分层架构；适合 non-repaint disclosure 审计，仍待源码级对象时机核验
N03,SMC Indicator,TradingView open-source page,QuantitativeEdge,https://www.tradingview.com/script/97OKEUwv-SMC-Indicator/,https://www.tradingview.com/script/97OKEUwv-SMC-Indicator/,N03_市场结构_突破质量_条件收集\SMC_Indicator__page_excerpt.md,强调 non-repainting detection engine,OHLC,medium,free,manual page save,excerpt_saved,已落页面摘录；正文显示 ZigZag/pivot 语义需谨慎审计
N03,Smart Money Structure | GainzAlgo,TradingView open-source page,GainzAlgo,https://www.tradingview.com/script/HKBMUhq3-Smart-Money-Structure-GainzAlgo/,https://www.tradingview.com/script/HKBMUhq3-Smart-Money-Structure-GainzAlgo/,N03_市场结构_突破质量_条件收集\Smart_Money_Structure__GainzAlgo__page_excerpt.md,复杂结构框架样本可用于审计 BOS/CHOCH 的过滤层与无重绘主张,OHLC+volume,medium,free,manual page save,excerpt_saved,已落索引正文摘录；超出当前 N03 定义边界，仅作审计样本
N03,CHOCH-BOS-ICT INDICATOR,Gist raw pine,HOUSSAMELUISS / pinescripter_maroc,https://gist.github.com/HOUSSAMELUISS/a6b145b6dd31d54c753fbdfc9e22eaf7,https://gist.githubusercontent.com/HOUSSAMELUISS/a6b145b6dd31d54c753fbdfc9e22eaf7/raw/0e657bd1d53124ea6cc293beff098c4274e4b6aa/CHOCH-BOS-ICT%2520%2520INDICATOR,N03_市场结构_突破质量_条件收集\CHOCH-BOS-ICT__gist.pine,fractal/pivot 两种结构确认模式可审计,OHLC,medium,free,download raw,downloaded,已落本地文件
N03,BOS_CHOCH_Indicator,GitHub raw pine,manyavangimalla,https://github.com/manyavangimalla/Trading-Indicator/blob/main/BOS_CHOCH_Indicator.pine,https://github.com/manyavangimalla/Trading-Indicator/raw/refs/heads/main/BOS_CHOCH_Indicator.pine,N03_市场结构_突破质量_条件收集\BOS_CHOCH_Indicator__github.pine,含 BOS/CHOCH/FVG/Fib 组合实现,OHLC,high,free,download raw,downloaded,超出本轮边界部分需裁剪
N03,Failed Breakout Trading: How to Capitalize on False Moves,Public article,TradeMomentum,https://www.trademomentum.org/blog/failed-breakout-trading,https://www.trademomentum.org/blog/failed-breakout-trading,N03_市场结构_突破质量_条件收集\Failed_Breakout_Trading__page_excerpt.md,定义 acceptance/rejection 和 reclaim 流程,OHLC+volume,none,free,save webpage,excerpt_saved,已落页面摘录；可作为 failed breakout 定义参考
