数据类型	有无	齐全度	最新日期	覆盖天数	缺口说明
连板天梯	有	不全	20260810	1天（仅新仓）	仅新仓 ladder_daily_snapshots 有 20260810 单日快照（JSON×2 + TSV×1），旧仓无对应目录；缺 20260807-0809 及更早历史连续数据，建议补齐日更链路并沉淀历史回测集。
行业成交	有	不全	20260810	4天	新仓 sector_daily_snapshots 有 20260807/0810（JSON×4+TSV×2），旧仓仅 20260807 单日；缺 0808-0809 交易日，且无分钟级/板块资金流明细，建议每日收盘后自动采集并校验。
龙虎榜	无	无结构化数据	20260730	仅图片归档	10_source_library_archive 内仅存 2026-07-29 龙虎榜异动资金 PNG 截图及旧仓零散 PDF 学习资料，无任何 JSON/TSV 结构化龙虎榜每日快照；需从零建采集链路（东方财富/同花顺龙虎榜页→OCR→结构化TSV）。
直播间观点	有	不全	20260811	9天（24房）	新仓 info_live_room_sampling/rooms 共 24 房，JSON×98，覆盖 20260803-20260811；但 24 房中部分房间采样次数不均（复盘哥/机构电话会议等房间增量较多，独家老师5号/梅森等偏少），缺 8月3日之前历史，且尚未做观点聚类/标签化汇总。
A指数	无	无独立K线目录	20260811	散见其他目录	02_runtime 下无独立指数日线/分时快照子目录，仅有 ZSDB指数对比 文档/PNG/TXT 公式壳；沪深300/中证500/上证50/创业板指/科创50 五条核心指数需单独建 OHLCV 采集（TDX/东方财富/akshare）。
港股	无	完全缺失	-	0天	新旧仓全库无任何港股相关 JSON/TSV 快照或采集脚本；恒生指数/恒生科技指数/港股通标的池均无数据，建议接入东方财富港股页或 akshare 接口先做周级别采样探路。
美股	无	完全缺失	-	0天	新旧仓全库无任何美股相关数据目录及结构化产物；标普500/VIX/纳斯达克100/道指 四大指数+中概股代表池均缺失，建议用 akshare/yfinance 起步做日级快照。
外汇	无	🔴全断	-	0天结构化	🔴全断：仅旧仓存有 MT4.set 外汇品种集合文件与TK外汇课程 PDF/MD 学习资料，无任何 EURUSD/GBPUSD/USDJPY/XAUUSD 等主力品种的 M1/M5/H1/D1 OHLCV JSON/TSV 历史快照，也无实时采集链路。应急方案3条：(1)金十直播间锚点：在 info_live_room_sampling/rooms 新增「金十财经直播间」房间，每日3次人工+OCR抓财经日历与外汇点评JSON锚点；(2)东方财富PC截图OCR：每日 08:00/12:00/20:00 对东方财富PC外汇中心页截图→Tesseract→主力6品种汇率TSV入库；(3)免费API(akshare/efinance)：写 Python 脚本用 akshare.currency() 或 efinance 接口，每日收盘后批量拉取主力12品种日线并落地至 forex_daily_snapshots/ 目录。详见 forex_emergency_plan__20260811.md。
期货	无	完全缺失	-	0天	新旧仓无期货主力合约（螺纹/铁矿/甲醇/纯碱/黄金/白银等）任何 OHLCV 结构化数据，仅大隐体系视频文案中提及文华指数案例；建议用 akshare.futures 接口日采文华商品指数+前5大活跃品种日线起步。
个股K线	无	无独立快照目录	20260809	散见butler探针	无 ashare_daily_snapshots/ 这类集中个股K线目录，仅 02_runtime/butler_r0_ohlcv_object_cards 下有零星接受度探针样例；A股 5000+ 标的需定义「核心池（沪深300+中证500+天梯连板池）」先做日级 OHLCV+成交额+换手率 批量落地。
