object_card	min_input_sample	min_runtime_entry	key_assertions	degrade_expectation	status
VOLFAC_P0_A	60d_daily_ohlcv_csv	run_volfac_on_sample.py_or_runner_subcommand	output_has_vol_regime_size_scalar_confidence	lt_40_bars_marks_insufficient_data	draft
BPB_P0_E	80bar_daily_ohlcv_with_breakout_case	run_bpb_on_sample.py_or_runner_subcommand	breakout_then_pullback_generates_signal_or_waiting	no_breakout_returns_NONE	draft
VP_P0_E	30bar_daily_ohlcv_with_volume_profile_window	run_vp_on_sample.py_or_runner_subcommand	output_has_poc_vah_val_and_signal	window_lt_10_returns_no_signal	draft
TKR7_P0_E	80bar_daily_ohlcv_with_divergence_case	run_tkr7_on_sample.py_or_runner_subcommand	output_has_divergence_type_confidence_signal	len_lt_34_returns_insufficient_data	draft
VOLTARGET_P0_R	30bar_daily_ohlcv_plus_base_position	run_voltarget_on_sample.py_or_runner_subcommand	output_has_current_vol_scalar_adjusted_position	missing_log_std_falls_back_to_atr_vol	draft
PERIOD_QUEEN_P0_F	top_rank_csv_plus_limit_time_snapshot	run_period_queen_on_sample.py_or_runner_subcommand	output_has_pq_state_permission_position_max_size	missing_rank_data_halts_and_marks_low_confidence	draft
KELLY_P0_R	trade_log_csv_gte_50_rows	run_kelly_on_sample.py_or_runner_subcommand	output_has_f_star_f_actual_confidence_regime	sample_lt_30_returns_zero_budget	draft
MFLOW_P0_A	daily_ohlcv_plus_money_flow_csv	run_mflow_on_sample.py_or_runner_subcommand	output_has_main_force_direction_pressure_score_and_gate	missing_money_flow_skips_card_and_marks_not_ready	field_contract_ready
INSTB_P0_A	daily_ohlcv_plus_quarterly_holdings_snapshot	run_instb_on_sample.py_or_runner_subcommand	output_has_inst_position_change_chip_concentration_and_gate	missing_holdings_skips_execution_and_keeps_method_only	field_contract_ready
YTC_P0_E	daily_weekly_ohlcv_plus_optional_60m_window	run_ytc_on_sample.py_or_runner_subcommand	output_has_sr_test_or_break_classification_and_signal	intraday_missing_degrades_to_daily_weekly_only	daily_weekly_samples_ready
ATRATIO_P0_A	daily_ohlcv_plus_turnover_proxy	run_atratio_on_sample.py_or_runner_subcommand	output_has_activity_ratio_or_observe_only_state	level2_missing_parks_in_future_bucket	field_contract_ready
CHZL_BSD_P0_E	daily_weekly_ohlcv_plus_chanlun_structure_series	run_chzl_bsd_on_sample.py_or_runner_subcommand	output_has_fractal_stroke_zhongshu_and_candidate_bsd	missing_structure_series_falls_back_to_bpb_ytc	field_contract_ready
