paper_id	action	source_path	staging_path	source_exists	staging_exists	source_size	staging_size	sha256_match	source_sha256	staging_sha256	outside_refs_basename	outside_refs_fullpath
S-003	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	1	1	1371199	1371199	1	5c5a46ebfcf2f3dd6bdf5d3ff8815f0ddc126f3ed066c812aef5569b3140b42b	5c5a46ebfcf2f3dd6bdf5d3ff8815f0ddc126f3ed066c812aef5569b3140b42b	3	1
S-009	DELETE_CANDIDATE	d:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_exact\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	1	1	519875	519875	1	bd8223ff2675357ca6d7ee8d05f3bd26034f48283ae76d1d4d2b1aa253f54ba9	bd8223ff2675357ca6d7ee8d05f3bd26034f48283ae76d1d4d2b1aa253f54ba9	3	0
S-010	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_topic\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	1	1	1757184	1757184	1	fb72df33b558c2e9b52c25f19b7ad7c735c270110f3fbc4df3adaa9e000d7fdf	fb72df33b558c2e9b52c25f19b7ad7c735c270110f3fbc4df3adaa9e000d7fdf	2	1
S-037	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	1	1	542677	542677	1	8ee8ceb9bc45d3c8df32aeef45283c758062d32f65878f1e5511ac6f74486bc6	8ee8ceb9bc45d3c8df32aeef45283c758062d32f65878f1e5511ac6f74486bc6	3	1
S-038	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	1	1	1371199	1371199	1	5c5a46ebfcf2f3dd6bdf5d3ff8815f0ddc126f3ed066c812aef5569b3140b42b	5c5a46ebfcf2f3dd6bdf5d3ff8815f0ddc126f3ed066c812aef5569b3140b42b	3	1
S-039	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	1	1	497620	497620	1	37cc0e950b4a6eab6c3b7652fec3a8bd7c3d40e07cba324c59942e12a81ab5a8	37cc0e950b4a6eab6c3b7652fec3a8bd7c3d40e07cba324c59942e12a81ab5a8	2	1
S-040	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	1	1	645413	645413	1	d198b30ecd7f047ee413acd7471254ad6ef22977fc3abdc30b832e3845cc72b4	d198b30ecd7f047ee413acd7471254ad6ef22977fc3abdc30b832e3845cc72b4	2	1
S-041	DELETE_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	1	1	1427174	1427174	1	a7ed2fb4777998df17c8c9217a15c74a2b3a5901ace1d60f36f39f588979cca9	a7ed2fb4777998df17c8c9217a15c74a2b3a5901ace1d60f36f39f588979cca9	2	1
A-001	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	1	1	471159	471159	1	99446bee4b9daef4fe60b163ad28ed5781fa0eac17859248110b4518e9c713a4	99446bee4b9daef4fe60b163ad28ed5781fa0eac17859248110b4518e9c713a4	0	0
A-002	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	1	1	440609	440609	1	6d2016116312f860801109c8b557609fb4a157e35a302f0dff8c954400fa18c8	6d2016116312f860801109c8b557609fb4a157e35a302f0dff8c954400fa18c8	0	0
A-003	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	1	1	574457	574457	1	a9360d4adb4d14012281eb0ed92b468b655c3d0d5994e345a7c8cfd16efcf64d	a9360d4adb4d14012281eb0ed92b468b655c3d0d5994e345a7c8cfd16efcf64d	0	0
A-004	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	1	1	948380	948380	1	df842994a643759a2c7bd59dc148b6e8a554f4dd8194a0c7e12da8125ba8ed02	df842994a643759a2c7bd59dc148b6e8a554f4dd8194a0c7e12da8125ba8ed02	0	0
A-005	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\基于涨跌比的行业轮动与择时研究.pdf	1	1	1799273	1799273	1	058fcc3ae432d07b81a828eee0277d829866c0711491404356c4e51aefeb60e1	058fcc3ae432d07b81a828eee0277d829866c0711491404356c4e51aefeb60e1	0	0
A-006	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\妙用涨跌比，小盘指数巧择时.pdf	1	1	1026797	1026797	1	3ca8c95cfefaf7888eae70d43e89d2bc33db7e8a3596577261827f9998548e10	3ca8c95cfefaf7888eae70d43e89d2bc33db7e8a3596577261827f9998548e10	0	0
A-007	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\基于板块效应动量反转特征的alpha策略研究.pdf	1	1	616256	616256	1	92a47fd7d48076be1c7583e2fca9b40f4a31e938e0aa7f364bb5837b2a656d4e	92a47fd7d48076be1c7583e2fca9b40f4a31e938e0aa7f364bb5837b2a656d4e	0	0
A-008	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	1	1	540666	540666	1	1de583cedc3c8520c47aef190047685e9a2ea8d8d182ca510a8a3c8af46b378f	1de583cedc3c8520c47aef190047685e9a2ea8d8d182ca510a8a3c8af46b378f	0	0
A-009	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\板块持仓测算在创业板风格轮动中的应用.pdf	1	1	1781080	1781080	1	68affe0e63cde325b27590c2c428676ae02d78df24425929b327aca243b19479	68affe0e63cde325b27590c2c428676ae02d78df24425929b327aca243b19479	0	0
A-010	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\海通AK行业轮动策略——结构性行情必杀技.pdf	1	1	586388	586388	1	ee42dc49369ea07438095daf31d88cfa36191a89b605f3a03f1aa92d028503f9	ee42dc49369ea07438095daf31d88cfa36191a89b605f3a03f1aa92d028503f9	0	0
A-011	MOVE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	1	1	429052	429052	1	bdefcf5b572e9af98fc3c731bd2ad70ac5b915f2de0b1f8c011be78d5ac7c4e7	bdefcf5b572e9af98fc3c731bd2ad70ac5b915f2de0b1f8c011be78d5ac7c4e7	0	0
