"category"	"original_path"	"new_path"
"discussion_packets"	"00_entry\全库资料整理收口__20260713\A5_Cursor精读路径与FV_gate框架讨论包__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\discussion_packets\A5_Cursor精读路径与FV_gate框架讨论包__20260718.md"
"discussion_packets"	"00_entry\全库资料整理收口__20260713\A5_financial_validity_gate最小入口与通过标准_多AI前情提要与讨论包__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\discussion_packets\A5_financial_validity_gate最小入口与通过标准_多AI前情提要与讨论包__20260718.md"
"discussion_packets"	"00_entry\全库资料整理收口__20260713\A5_交易逻辑与策略形态_多AI讨论预留页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\discussion_packets\A5_交易逻辑与策略形态_多AI讨论预留页__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_adjusted_position_weight_升级判断_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_adjusted_position_weight_升级判断_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_A股P0技术指标产品层第一轮规划_多AI前情提要与裁决框架__20260723.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_A股P0技术指标产品层第一轮规划_多AI前情提要与裁决框架__20260723.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_A股P0技术指标产品层组合可行性第二轮_多AI前情提要与裁决框架__20260724.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_A股P0技术指标产品层组合可行性第二轮_多AI前情提要与裁决框架__20260724.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_A股P0技术指标产品层组合可行性第一轮_多AI前情提要与裁决框架__20260724.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_A股P0技术指标产品层组合可行性第一轮_多AI前情提要与裁决框架__20260724.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_A股P0首版相对基准硬门禁_多AI前情提要与裁决框架__20260719.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_A股P0首版相对基准硬门禁_多AI前情提要与裁决框架__20260719.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_ready判断_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_covariance_model_id_ready判断_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_总瓶颈判断_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_covariance_model_id_总瓶颈判断_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_FV_gate_window_consistency_v0后续方向_多AI前情提要与裁决框架__20260719.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_FV_gate_window_consistency_v0后续方向_多AI前情提要与裁决框架__20260719.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_G5_输出通过条件_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_G5_输出通过条件_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_portfolio_tracking_error_frozen后续升级判断_多AI前情提要与裁决框架__20260717.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_portfolio_tracking_error_frozen后续升级判断_多AI前情提要与裁决框架__20260717.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_portfolio_tracking_error_升级判断_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_portfolio_tracking_error_升级判断_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_target_weight_verified_with_degraded_risk后续升级判断_多AI前情提要与裁决框架__20260717.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_target_weight_verified_with_degraded_risk后续升级判断_多AI前情提要与裁决框架__20260717.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_target_weight_升格裁决__actual_generation后_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_target_weight_升格裁决__actual_generation后_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_target_weight_升格裁决_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_target_weight_升格裁决_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_target_weight_升级判断重开_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_target_weight_升级判断重开_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_target_weight_重开升格裁决_多AI前情提要与裁决框架__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_target_weight_重开升格裁决_多AI前情提要与裁决框架__20260716.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标通用性分析与使用场景细化_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标通用性分析与使用场景细化_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标外部成熟体系辅助输入_仓内参考体系优先_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标外部成熟体系辅助输入_仓内参考体系优先_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标下一步进入条件复核_第二轮_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标下一步进入条件复核_第二轮_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标下一步进入条件复核_第三轮_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标下一步进入条件复核_第三轮_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标下一步进入条件复核_第四轮_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标下一步进入条件复核_第四轮_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_技术指标下一步进入条件与外部成熟体系辅助输入判断_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_技术指标下一步进入条件与外部成熟体系辅助输入判断_多AI前情提要与裁决框架__20260725.md"
"multi_ai_briefings"	"00_entry\全库资料整理收口__20260713\A5_五条代表指标职责切换与典型失效样式细化_多AI前情提要与裁决框架__20260725.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\multi_ai_briefings\A5_五条代表指标职责切换与典型失效样式细化_多AI前情提要与裁决框架__20260725.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_adjusted_position_weight_升级判断准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_adjusted_position_weight_升级判断准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_adjusted_position_weight解除not_output_passed正式边界准备页__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_adjusted_position_weight解除not_output_passed正式边界准备页__20260718.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_downstream_still_locked后续判断准备页__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_downstream_still_locked后续判断准备页__20260718.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_downstream_still_locked唯一剩余锁定原因准备页__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_downstream_still_locked唯一剩余锁定原因准备页__20260718.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_first_fresh_run入口准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_first_fresh_run入口准备页__20260716.md"
