observation_id,observation_family,observation_level,observation_status,source_outcome_shell_id,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,ib_same_side_edge_value,bars_after_cross_count,return_inside_ib_observed_same_day,first_return_inside_ib_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,observation_scope
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,up,wick,2026-03-11T09:03:00Z,1.16366,1.16361,895,1,2026-03-11T09:04:00Z,1.16454,0.00093,1.15666,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,up,wick,2026-03-13T15:02:00Z,1.14726,1.14720,534,1,2026-03-13T15:03:00Z,1.14901,0.00181,1.14152,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-03,down,close,2026-04-03T14:35:00Z,1.15418,1.15419,553,1,2026-04-03T14:36:00Z,1.15104,0.00315,1.15146,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-06,up,wick,2026-04-06T15:37:00Z,1.15527,1.15516,741,1,2026-04-06T15:38:00Z,1.15716,0.00200,1.1537600000000001,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-07,up,wick,2026-04-07T14:37:00Z,1.1559599999999999,1.15587,801,1,2026-04-07T14:38:00Z,1.1696900000000001,0.0138200000000001,1.16718,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-08,up,close,2026-04-08T08:20:00Z,1.16825,1.16811,879,1,2026-04-08T10:11:00Z,1.17218,0.00407,1.16679,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-15,up,wick,2026-04-15T14:46:00Z,1.17843,1.17835,792,1,2026-04-15T14:47:00Z,1.18085,0.00250,1.1807400000000001,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-06,down,wick,2026-05-06T14:55:00Z,1.1769,1.17694,783,1,2026-05-06T14:56:00Z,1.17418,0.00276,1.17485,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-08,down,wick,2026-05-08T15:07:00Z,1.17608,1.17614,529,1,2026-05-08T15:08:00Z,1.17563,0.00051,1.17852,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-13,up,wick,2026-05-13T14:14:00Z,1.1715200000000001,1.17152,824,1,2026-05-13T14:15:00Z,1.17188,0.00036,1.1717,1,same_local_date_after_confirmed_cross
