visible_order	room_anchor	auto_priority_hint	auto_tags	score_a_stock_relevance	score_intraday_timeliness	score_uniqueness	score_traceability	score_update_stability	score_low_noise	score_history_review_friendly	total_score	tier	review_status	reviewer_note
1	机构电话会议纪要+小作文+情报	medium_high	research	18	8	15	13	6	6	4	70	A	auto_scored_needs_human_confirmation	
2	大将潘凤（加盘面逻辑，新一期，试更新，看实力）	medium	a_stock_core,trial	20	16	6	9	3	5	4	63	B	auto_scored_needs_human_confirmation	
3	复盘哥	low	review	8	8	6	10	6	6	5	49	C	auto_scored_needs_human_confirmation	
4	格兰投研	medium_high	research	18	8	12	11	6	6	4	65	A	auto_scored_needs_human_confirmation	
5	银河投递员	low	general	8	11	6	6	6	6	4	47	C	auto_scored_needs_human_confirmation	
6	混江龙	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
7	梦幻一步（试着更新，看参考价值）	low	trial	8	8	6	6	3	5	4	40	C	auto_scored_needs_human_confirmation	
8	只爱主波浪	medium_high	a_stock_core	20	16	6	9	6	6	4	67	A	auto_scored_needs_human_confirmation	
9	机构研报资讯精选	medium_high	research	18	10	12	11	6	6	4	67	A	auto_scored_needs_human_confirmation	
10	七福潜伏低吸	medium_high	a_stock_core	20	18	6	9	6	6	4	69	A	auto_scored_needs_human_confirmation	
11	擒龙小师姐	medium_high	a_stock_core	20	16	6	9	6	6	4	67	A	auto_scored_needs_human_confirmation	
12	小作文嗅嗅+机构研报	medium_high	research	18	10	15	11	6	6	4	70	A	auto_scored_needs_human_confirmation	
13	猫哥竞价	medium_high	a_stock_core	20	20	6	9	6	6	4	71	A	auto_scored_needs_human_confirmation	
14	帝王通知群（务必把这个群置顶）	low	notice	0	6	3	6	6	2	4	27	C	auto_scored_needs_human_confirmation	
15	（这个老师暂时没有）laoduo	low	trial	8	8	6	6	3	5	4	40	C	auto_scored_needs_human_confirmation	
16	大师兄擒妖	medium_high	a_stock_core	20	16	6	9	6	6	4	67	A	auto_scored_needs_human_confirmation	
17	独家老师5号	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
18	招财大师姐（试更新）	low	trial	8	8	6	6	3	5	4	40	C	auto_scored_needs_human_confirmation	
19	将军段（清明节后试更新）	low	trial	8	8	6	6	3	5	4	40	C	auto_scored_needs_human_confirmation	
20	独家短线老师6号	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
21	老鱼论道新一期	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
22	暴金一哥	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
23	七龙珠	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
24	听妈妈的话	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
25	梅森	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
26	周期女王（新一期，重新搞的）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
27	奶爸（买了一期，看实力）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
28	猎豹	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
29	缠中说缠	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
30	天赢居	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
31	天机短线试更新	low	trial	8	8	6	6	3	5	4	40	C	auto_scored_needs_human_confirmation	
32	妖股刺客	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
33	顺势而为（借势）众筹中	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
34	孙悟空金牌	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
35	投星资产（虽然没有多少参考价值，清明节开始下一期更新）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
36	核心逻辑社一期26.8.15	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
37	洛飞笔记（新一期开始）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
38	k神	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
39	独家一号（超短线）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
40	游资胖大叔（到期）	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
41	先知	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
42	上海老梁 新一期	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
43	鑫多多新	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
44	新生代	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
45	姆爷	low	general	8	8	6	6	6	6	4	44	C	auto_scored_needs_human_confirmation	
