field_name	type	required	layer	desc	input_source	evidence_anchor	acceptance_check	degrade_rule
object_id	string	yes	meta	固定对象标识	fixed_literal	A_REQ_003执行口径	eq_A_REQ_003_P0_R	no_degrade
portfolio_date	date	yes	meta	组合计算日期	portfolio_snapshot	valid_date	use_snapshot_date
benchmark_id	string	no	optimizer	基准标识	benchmark_snapshot	QEPM chapter09	string_or_empty	empty_if_nonbenchmark_mode
alpha_score	float	yes	optimizer	单标的预期超额收益	alpha_model_or_factor_rank	Active ch14 / QEPM chapter03	allow_negative_and_reasonable_range	abort_if_missing
covariance_model_id	string	no	optimizer	协方差模型标识	risk_model	QEPM chapter09 / Active ch14	non_empty_or_empty	fallback_to_equal_or_value_weight
tracking_error_limit	float	no	optimizer	跟踪误差上限	portfolio_policy	QEPM chapter09	value_ge_0	use_default_policy_cap
active_risk_aversion	float	no	optimizer	主动风险厌恶系数	portfolio_policy	Active ch14	value_ge_0	use_target_active_risk_proxy
transaction_cost_bps	float	no	optimizer	交易成本估计	broker_or_policy	Active ch14	value_ge_0	use_default_bps
turnover_limit	float	no	constraint	换手率上限	policy	value_ge_0_and_le_1	use_default_turnover_cap
weight_lower_bound	float	no	constraint	单标的最小权重	policy	value_ge_neg1_and_le_1	default_0_if_long_only
weight_upper_bound	float	yes	constraint	单标的最大权重	policy	value_gt_0_and_le_1	use_diversification_default
long_only_flag	bool	yes	constraint	是否禁止做空	policy	Active ch14 / QEPM chapter09	bool_present	default_true
current_weight	float	yes	position	当前组合权重	current_portfolio	Active ch14	value_ge_0_and_le_1	use_0_if_new_name
target_weight	float	yes	position	目标组合权重	optimizer_output	QEPM chapter09	value_ge_0_and_le_1	abort_if_missing
kelly_size_scalar	float	no	risk_overlay	Kelly 风险缩放	kelly_contract	risk_architecture_field_contract	0_le_value_le_1	default_half_kelly
vt_size_scalar	float	no	risk_overlay	目标波动缩放	voltarget_contract	risk_architecture_field_contract	0.1_le_value_le_2.0	default_1_0
pq_position_max_size	float	no	risk_overlay	周期环境上限	pq_contract	risk_architecture_field_contract	0_le_value_le_1	default_0_3
final_size_scalar	float	yes	final	min(kelly,vt,pq,1.0)	risk_overlay_fusion	risk_architecture_field_contract	0_le_value_le_1	abort_if_le_0_05
portfolio_expected_active_return	float	no	final	组合预期超额收益	optimizer_output	组合管理主线	reasonable_numeric_or_empty	empty_if_nonoptimizer_mode
portfolio_tracking_error	float	no	final	组合跟踪误差	optimizer_output	QEPM chapter09	value_ge_0_or_empty	empty_if_nonbenchmark_mode
rebalance_frequency	enum	yes	rebalance	再平衡频率	delivery_policy	QEPM chapter10	in_allowed_set	default_monthly
rebalance_trigger	enum	yes	rebalance	再平衡触发类型	schedule_or_threshold	QEPM chapter10	in_allowed_set	default_schedule
adjusted_position_weight	float	yes	final	叠加风险缩放后的最终权重	target_weight_times_final_size_scalar	risk_overlay_fusion	value_ge_0_and_le_1	use_target_weight_if_scalar_missing
abort_reason	string	no	audit	中止或降级原因	rules_engine	risk_architecture_field_contract	string_or_empty	empty_if_pass
