topic_name	default_entry	current_role	primary_paths	notes
A股量化研究	10_source_library_archive/topic_entry/ashare_quant_research_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	面向 A 股量化研究摘要、coverage、删源对账与待吸收入口
A股数据源决策	10_source_library_archive/topic_entry/ashare_data_source_decision_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/	面向 Tushare/通达信/AKShare/雪球 的项目化裁决入口
系统吸收与正文回收	10_source_library_archive/topic_entry/trae_system_absorb_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_131_trae_system_selected_absorb__20260709/	面向系统正文回收、family index 与 promotion map
外部吸收与回收提升	10_source_library_archive/topic_entry/external_absorb_recovery_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_110_external_folder_absorb__20260708/	面向外部材料吸收、代码提升与 runtime 回收
原子方法对象孵化	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_101_non_kimi_atomic_rules_boundary__20260707/	面向 KD/RSJ/高频价量相关性/四轴状态/VanTharp R 这组原子对象束与合同样例入口
财报估值与组合管理	10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/	面向 A5 严格复审通过后的财报、估值、组合管理稳定切分入口
事件驱动选股	10_source_library_archive/topic_entry/event_driven_stock_selection_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	面向 GROUP_08 中业绩预告、指数调样、增减持、股权激励等事件驱动研究摘要
行业轮动与风格轮动	10_source_library_archive/topic_entry/industry_rotation_style_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_143_group08_rotation_style_contract_absorb__20260713/	面向 GROUP_08 中行业轮动、风格轮动与资产配置候选的合同层入口
多因子相关性选股	10_source_library_archive/topic_entry/multi_factor_correlation_stock_selection_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	面向 GROUP_08 中相关性选股全市场框架与行业迁移研究
动态因子有效性	10_source_library_archive/topic_entry/dynamic_factor_validity_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	面向 GROUP_08 中 Kalman Filter、因子时变有效性、尾部相关等研究
市场择时信号	10_source_library_archive/topic_entry/market_timing_signal_topic_entry_v1.md	topic_first_hop	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	面向 GROUP_08 中市场一致性 R² 与产业资本增减持择时研究
趋势仓位与轮动仓位	10_source_library_archive/topic_entry/trend_rotation_positioning_topic_entry_v1.md	topic_first_hop	10_source_library_archive/batch_141_trend_rotation_positioning_absorb__20260712/	面向趋势仓位上限、轮动仓位暴露约束与 A股 P0 桥接裁决入口
