item_id	rel_path	kind	source_role	status	note
M001	01_kimi_outputs/TRADING_BLOGGER_REFERENCE_v1.0.md	md	kimi_generated	ingested	按对象卡匹配交易博主资源的参考索引（后续抽出 TSV 索引）
M002	provenance.md	md	contract	active	外部来源与收口裁决说明
M003	02_absorb_index/trading_blogger_reference_index_v1.tsv	tsv	absorb_index	active	对象卡->平台->资源的可检索索引（用于优先级裁决与后续规则提取）
M004	robocopy__external_feature__20260708.log	log	import_log	archived	外部快照复制日志（用于追溯与验收）
M005	03_quantize/bpb_rule_candidates_v1.tsv	tsv	quantize	active	BPB（Al Brooks）规则候选清单：可直接进入对象卡字段化/实现排期
M006	03_quantize/chzl_bsd_rule_candidates_v1.tsv	tsv	quantize	active	CHZL_BSD（缠论结构）规则候选清单：先做结构化代理与可检索锚点
M007	02_absorb_index/raw_snapshot_promotion_map_v1.tsv	tsv	absorb_index	active	raw_snapshot 中脚本/数据/报告的提升归位映射表（不改动原快照）
M008	04_runtime/promoted_from_raw_snapshot/README.md	md	runtime_note	active	提升归位运行时资产目录的使用边界与后续验收要求
M009	02_absorb_index/endgame_private_invest_butler_contract_v0.1.md	md	contract	draft	终局合同层草案：私人投资管家目标/原则/模块/验收/未决策
M010	03_quantize/promoted_code_from_raw_snapshot/README.md	md	quantize_note	active	提升归位代码目录（.py 副本）使用边界与后续验收要求
M011	02_absorb_index/multi_ai_discussion_prompt_pack_v1.md	md	contract	active	多 AI 讨论题面与结构化输出格式（强制可吸收）
