topic_name	object_name	topic_entry	object_entry	primary_batch_or_group	primary_target	recommended_read_order	boundary_note
A股量化研究	A股研究摘要对象	10_source_library_archive/topic_entry/ashare_quant_research_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/ashare_research_summary_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/	先看 GROUP_08 短索引入口，再看研究摘要，最后视需要回看 coverage/删源对账	待入库研究中转侧，不是正式来源层稳定 bundle
A股数据源决策	A股数据源裁决对象	10_source_library_archive/topic_entry/ashare_data_source_decision_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/ashare_data_source_decision_object_entry_v1.md	10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/	10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/02_absorb_index/ashare_p0_data_source_decision_v1.md	先看项目裁决，再看教程内化摘要，最后才回 raw snapshot	教程吸收后的项目裁决入口，不是 runtime 结果页
系统吸收与正文回收	系统吸收对象	10_source_library_archive/topic_entry/trae_system_absorb_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/trae_system_selected_object_entry_v1.md	10_source_library_archive/batch_131_trae_system_selected_absorb__20260709/	10_source_library_archive/batch_131_trae_system_selected_absorb__20260709/01_index/trae_system_selected_family_index_v1.tsv	先看 family index，再看 promotion map，最后才回 raw snapshot 正文	系统正文吸回来源层后的快入口，不替代 21 层 router
外部吸收与回收提升	外部吸收提升对象	10_source_library_archive/topic_entry/external_absorb_recovery_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/external_absorb_recovery_object_entry_v1.md	10_source_library_archive/batch_110_external_folder_absorb__20260708/	10_source_library_archive/batch_110_external_folder_absorb__20260708/02_absorb_index/trading_blogger_reference_index_v1.tsv	先看 absorb index，再按需要进入 quantize/runtime，最后才回 raw snapshot	外部吸收提升路线入口，不直接替代对象目录或 runtime 正式入口
原子方法对象孵化	多周期KD对象	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/kd_mtf_object_entry_v1.md	10_source_library_archive/batch_102_non_kimi_atomic_kd_mtf_bundle__20260707/	10_source_library_archive/batch_102_non_kimi_atomic_kd_mtf_bundle__20260707/bundle/objects/技术指标_随机指标_多周期KD共振_后续对象定义入口_v1.md	先看对象入口，再看实施草案与字段输出路径，最后回看合同样例和规则文件	对象束已成形，但当前仍是 diag-only / proof-ready / contract-frozen，不是 runtime 默认门控
原子方法对象孵化	RSJ状态对象	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/rsj_state_object_entry_v1.md	10_source_library_archive/batch_103_non_kimi_atomic_rsj_state_bundle__20260707/	10_source_library_archive/batch_103_non_kimi_atomic_rsj_state_bundle__20260707/bundle/objects/技术指标_波动率_RSJ市场情绪冷暖剂_后续对象定义入口_v1.md	先看对象入口，再看最小合同和 proof-of-mapping，最后看 runtime notes 与样本	当前按 diag-only / proof-ready / contract-frozen 保留，不代表已接入主线择时
原子方法对象孵化	高频价量相关性对象	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/pv_corr_object_entry_v1.md	10_source_library_archive/batch_104_non_kimi_atomic_pv_corr_bundle__20260707/	10_source_library_archive/batch_104_non_kimi_atomic_pv_corr_bundle__20260707/bundle/objects/技术指标_量价关系_高频价量相关性因子_后续对象定义入口_v1.md	先看对象入口，再看最小合同和 proof-of-mapping，最后看 runtime notes 与样本	当前按 diag-only / proof-ready / contract-frozen 保留，不代表已进入主线默认因子池
原子方法对象孵化	四轴状态模板对象	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/four_axis_state_object_entry_v1.md	10_source_library_archive/batch_105_non_kimi_atomic_four_axis_state_bundle__20260707/	10_source_library_archive/batch_105_non_kimi_atomic_four_axis_state_bundle__20260707/bundle/objects/趋势系统交易_四轴状态模板_后续对象定义入口_v1.md	先看对象入口，再看最小合同和 proof-of-mapping，最后看字段头与样本	当前按 diag-only / proof-ready / contract-frozen 保留，不代表已成为仓位引擎输入
原子方法对象孵化	VanTharp R对象	10_source_library_archive/topic_entry/atomic_method_incubation_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/vantharp_r_object_entry_v1.md	10_source_library_archive/batch_106_non_kimi_atomic_vantharp_r_bundle__20260707/	10_source_library_archive/batch_106_non_kimi_atomic_vantharp_r_bundle__20260707/bundle/objects/风险管理_VanTharp_R乘数_期望与头寸规模_后续对象定义入口_v1.md	先看对象入口，再看最小合同和 proof-of-mapping，最后看字段头与风险样本	当前按 diag-only / proof-ready / contract-frozen 保留，不代表已接入真实仓位引擎
财报估值与组合管理	量化权益组合管理对象	10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/quant_equity_portfolio_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/5073_Quantitative_Equity_Portfolio_Management/contents.md	先看 contents，再按 nav 跳章，最后才回 INDEX 反查术语	当前已按正式通过口径使用，但仍处于稳定 staging 入口，不是正式来源层 bundle 批次
