file_name	repo_path	source_path	primary_theme	repo_role	ingest_decision	note
10分钟理解机构订单流的底层逻辑 (fvg 篇）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\10分钟理解机构订单流的底层逻辑 (fvg 篇）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\10分钟理解机构订单流的底层逻辑 (fvg 篇）_导出.md	case_replay	execution_examples / psychology	REFERENCE_ONLY	偏视频导出总结，先作为方法论参考保留，不直接量化。
3分钟告诉你，我是如何在开盘前预判今天走势的_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\3分钟告诉你，我是如何在开盘前预判今天走势的_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\3分钟告诉你，我是如何在开盘前预判今天走势的_导出.md	bias_premarket	premarket_bias / narrative	INGEST_AS_METHOD_REFERENCE	可吸收为盘前偏见与剧本模板，但不能直接当信号。
5 分钟学会判断今天涨跌：Daily Bias 新手最强入门_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\5 分钟学会判断今天涨跌：Daily Bias 新手最强入门_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\5 分钟学会判断今天涨跌：Daily Bias 新手最强入门_导出.md	bias_premarket	premarket_bias / narrative	INGEST_AS_METHOD_REFERENCE	可吸收为盘前偏见与剧本模板，但不能直接当信号。
5 分钟学会判断今天涨跌：复盘篇_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\5 分钟学会判断今天涨跌：复盘篇_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\5 分钟学会判断今天涨跌：复盘篇_导出.md	bias_premarket	premarket_bias / narrative	INGEST_AS_METHOD_REFERENCE	可吸收为盘前偏见与剧本模板，但不能直接当信号。
6月8日 NQ 交易复盘_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\6月8日 NQ 交易复盘_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\6月8日 NQ 交易复盘_导出.md	case_replay	execution_examples / replay	REFERENCE_ONLY	更适合作为案例回放，除非后续能抽成稳定规则。
9 交易复盘）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\9 交易复盘）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\9 交易复盘）_导出.md	case_replay	execution_examples / replay	REFERENCE_ONLY	更适合作为案例回放，除非后续能抽成稳定规则。
90%的交易员都用错了 Breaker Block（底层逻辑解析）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\90%的交易员都用错了 Breaker Block（底层逻辑解析）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\90%的交易员都用错了 Breaker Block（底层逻辑解析）_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
“第四节｜Liquidity：小白第一次真正理解价格行为_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\“第四节｜Liquidity：小白第一次真正理解价格行为_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\“第四节｜Liquidity：小白第一次真正理解价格行为_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
一个视频教你用 80% 胜率 FVG 入场：机构算法从不告诉你的秘密_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\一个视频教你用 80% 胜率 FVG 入场：机构算法从不告诉你的秘密_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\一个视频教你用 80% 胜率 FVG 入场：机构算法从不告诉你的秘密_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
一个视频，让你彻底学会 FOMC 怎么交易_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\一个视频，让你彻底学会 FOMC 怎么交易_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\一个视频，让你彻底学会 FOMC 怎么交易_导出.md	event_playbook	event_playbook / time_window	INGEST_AS_METHOD_REFERENCE	适合沉淀为事件日剧本模板，先保留为方法论。
