"object_id"	"kimi_batch_id"	"source_batch"	"select_order"	"bucket_l1"	"bucket_l2"	"file_name"	"current_path"	"function_bucket"	"process_layer"	"role_type"	"maturity_level"	"input_requirement"	"output_form"	"best_use_case"	"cannot_do_yet"	"combines_with"	"overlaps_with"	"failure_modes"	"evidence_note"	"kimi_reply_status"	"repo_review_status"
"SBKT_F001"	"batch1_v15_v16"	"v15"	"1"	"03_券商研报"	"01_高频微观"	"20190611-海通证券-金融工程专题报告：听海外高频交易专家讲解美国的高频交易.pdf"	"D:\Stock\cut_file\S\03_券商研报\01_高频微观\20190611-海通证券-金融工程专题报告：听海外高频交易专家讲解美国的高频交易.pdf"	"高频微观 / 执行机制"	"execution / explanation"	"explanation（更偏向解释海外机制，非直接 alpha 公式）"	"概念层 / 译介层 — 券商专题报告，转述海外专家观点，未验证是否含可直接落地的 A 股参数"	"待核 — 正文是否列出数据需求、频率、品种未确认"	"待核 — 可能为定性综述、访谈纪要、或含对比表格"	"作为理解美国高频交易生态的参考素材；若需迁移至 A 股，需额外验证规则差异"	"直接迁移至 A 股执行策略（中美市场结构差异待核）；提取可复用参数（正文未读）；确认是否含滑点/延迟数据"	"待核"	"待核 — 可能与 SBKT_F009/F010 在高频数据应用方向存在重叠，需正文比对"	"把海外经验直接套用到 A 股；把专家观点当作已验证策略"	"仅基于文件名推断。PDF 正文未读取。标题含“讲解”，倾向解释型材料。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
"SBKT_F002"	"batch1_v15_v16"	"v15"	"2"	"03_券商研报"	"01_高频微观"	"20200810-长江证券-基础因子研究（十二），高频因子（七）：分布估计下的主动成交占比.pdf"	"D:\Stock\cut_file\S\03_券商研报\01_高频微观\20200810-长江证券-基础因子研究（十二），高频因子（七）：分布估计下的主动成交占比.pdf"	"高频微观 / 主动成交占比 / 衰减后边界"	"alpha / filter / boundary"	"filter / boundary（限制候选）"	"边界固化层  KEEP_AS_LIMITED_CANDIDATE；多头方向已失效，2017 年后持续衰减，仅空头/多空可用"	"逐笔成交数据（用于构建原始博弈因子）或时间聚合K线数据（用于批量成交划分法） | 每个时段的收盘价/成交额（Amount_i, Close_i） | 收益率标准化：收益率分位或标准化收益率作为自变量 | 分布函数：t分布CDF、正态分布CDF、均匀分布CDF | 自由度参数（df） | 滑动窗口：全文未明确具体窗口长度，但通常为多日聚合（需核）"	"主动成交占比因子值（截面排序值） | 全市场/中证800分层回测净值（10组） | 分年风险指标：超额收益、信息比、多空收益、多空夏普比 | 正文中报告的核心绩效： | - 收益率分位+正态分布：全市场IC=-7.22%, ICIR=-78.64%；中证800 IC=-6.43%, ICIR=-55.49% | - 收益率分位+均匀分布：全市场IC=-7.30%, ICIR=-81.53%；中证800 IC=-6.51%, ICIR=-57.31% | - 对勾函数非线性改进后：全市场IC=-8.19%, ICIR=-103.28%"	"只作为三对象链路第三层的空头端验证或多空 filter；若仅做单向多头增强，则不纳入链路"	"单向多头增强 | 把仅空头/多空可用写成正文逐字结论 | 忽略 2017 年后持续衰减 | 在未做样本外重跑前恢复为主力 alpha"	"SBKT_F014（第一层候选池）、SBKT_F006（第二层风险过滤），但仅在多空策略中作第三层空头端验证"	"与 SBKT_F014（华泰资金流向因子）在""主动买卖划分""与""资金流向""定义上存在方法论重叠，但 SBKT_F002 以""分布估计""为核心创新点，SBKT_F014 以""Wind 50个资金流向因子""分类测试为特点 | 与原始博弈因子（长江高频因子五）为递进关系：从逐笔划分到批量成交连续划分"	"在单向多头增强中误用 SBKT_F002 | 把风格中性后负超额忽略掉 | 把与反转/波动率的相关性线索误写成失效归因已证实 | 用它替代资金流向和波动率核心对象"	"round3 功能核心固化结论：功能核心名称为主动成交占比负向空头/多空 filter（置信正态/均匀 + 分段线性），升级决策 KEEP_AS_LIMITED_CANDIDATE。正文直接支持 2017 年后衰减与风格中性后多头失效；仅空头/多空可用属于基于负超额数据的功能边界固化。替代链路已明确：单向多头增强时只用 SBKT_F014 + SBKT_F006，SBKT_F002 不纳入。"	"IMPORTED__ROUND3_BOUNDARY_OK"	"TEXT_EVIDENCE_IMPORTED__ROUND3_BOUNDARY_SOLIDIFIED"
"SBKT_F003"	"batch1_v15_v16"	"v15"	"3"	"03_券商研报"	"03_机器学习"	"Machine Learning in Finance_ From Theory to Practice-Springer (2020).pdf"	"D:\Stock\cut_file\S\03_券商研报\03_机器学习\Machine Learning in Finance_ From Theory to Practice-Springer (2020).pdf"	"机器学习 / 教材底座"	"explanation / alpha（取决于具体章节）"	"explanation（底座知识，非单一策略）"	"教材层 — 教科书性质，系统性强，但“实践”部分是否直接对应 A 股数据待核"	"待核 — 教科书通常列出通用数据类型（价格、财报、宏观），但具体章节要求未确认"	"待核 — 可能含模型框架、代码示例、案例数据集结果"	"作为团队机器学习方法论的共同底座；可用于提取特征工程、交叉验证、模型评估的通用规范"	"直接移植到 A 股实盘（教材通用性强，市场规则差异需本地化）；确认是否含伪代码或真实代码（需去代码块化）；确认理论与实践章节占比"	"华泰人工智能系列（SBKT_F004/F005/F012/F013）作为理论与本土实践之间的桥梁"	"待核 — 若含深度学习章节，可能与 CNN/RNN 教材（SBKT_F011）重叠"	"把教材案例当作可直接复现策略；忽略教材数据与 A 股数据质量差异"	"文件名明确为 Springer 2020 年教材，标题为“从理论到实践”。正文未读取。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
"SBKT_F004"	"batch1_v15_v16"	"v15"	"4"	"03_券商研报"	"03_机器学习"	"华泰人工智能系列16：再论时序交叉验证对抗过拟合.pdf"	"D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列16：再论时序交叉验证对抗过拟合.pdf"	"机器学习 / 方法论 / 训练流程规范"	"risk / explanation（核心为控制过拟合风险，非直接生成alpha）"	"explanation / risk（训练流程中的验证层规范，不直接输出交易信号）"	"方法层 — 含明确六种交叉验证方法对比、模型性能与单因子测试双重验证，但依赖于基学习器表现，存在失效风险"	"时间序列截面数据：月度因子截面（70个因子，含估值/成长/财务质量/杠杆/市值/动量反转/波动率/换手率/情绪/股东/技术指标） | 标签：下月收益排名前30%为y=1，后30%为y=0 | 回测区间：20110131~20190131 | 滚动训练：年度滚动，样本内T-6至T-1年（72个月），预测T年 | 预处理：中位数去极值（5倍|D_i-D_M|）、缺失值填充（中信一级行业均值）、行业市值中性化、标准化 | 基学习器：逻辑回归（C调参）或XGBoost（learning_rate, max_depth, subsample调参） | 交叉验证折数：12折 | Python环境：需改造scikit-learn的model_selection包（_split.py和__init__.py）以实现GroupTimeSeriesSplit"	"六种交叉验证方法的模型性能对比（样本内正确率/AUC、测试集正确率/AUC） | 最优超参数序列（历年滚动训练结果） | 单因子测试：回归法因子收益率、t值、|t|>2占比、IC值、IR比率、RankIC | 分层回测：N层组合年化收益、多空组合年化收益/夏普/最大回撤 | 策略组合回测：全A选股策略（逻辑回归/XGBoost为基学习器） | 核心结论：分组时序>时序>新基线>K折（过拟合程度排序相反）"	"作为量化选股模型训练流程的验证层规范，直接嵌入现有训练管道 | 当使用月度截面数据、年度滚动训练框架时，可直接替换默认K折为分组时序交叉验证 | 适用于逻辑回归、XGBoost等基学习器的超参数调参环节"	"直接输出交易信号（本报告为方法论，信号需结合具体因子和模型） | 跨基学习器通用性验证：正文仅测试逻辑回归和XGBoost，其他模型（如神经网络、LGBM）需额外验证 | 周频/日频数据下的精确切分：GroupTimeSeriesSplit基于""月份""分组，更短频率需重新定义分组单位 | 2019年后的样本外验证：回测期止于20190131，最新市场环境下有效性待核 | 代码改造后的维护：scikit-learn版本升级可能导致改造代码失效，需建立独立实现 | 与SBKT_F012（数据标注）和SBKT_F005（体系概览）的衔接：本报告为验证层，需确认与标注方法、特征工程的一致性"	"华泰AI系列17（SBKT_F012，数据标注）、华泰AI系列28（SBKT_F005，体系概览）、任何使用月度截面+年度滚动训练的选股模型"	"与SBKT_F003（Springer ML教材）在交叉验证章节重叠，但深度远超教材：正文含具体改造代码、70因子池、A股回测 | 与SBKT_F005（AI体系概览）在训练流程部分重叠，本报告为验证层专项深化"	"把验证方法当作策略收益保证（仅提升模型选择稳健性，不保证未来收益） | 在训练流程中仅换验证方式而不改进模型或特征，导致伪稳健 | 忽略分组时序交叉验证的欠拟合风险（正文明确提示存在欠拟合风险） | 直接移植改造代码到不同sklearn版本导致运行错误 | 混淆""测试集表现更好""与""策略实盘盈利""（中间还有单因子测试、组合构建等Gap）"	"正文详细对比六种交叉验证方法，通过归因分析（更少样本vs保留时序信息）证明分组时序交叉验证优势。核心创新为改造sklearn实现GroupTimeSeriesSplit，确保验证集在时序上严格位于训练集之后（按月份切分）。回测期2011-2019，70因子池，年度滚动训练。明确提示：依赖基学习器表现、存在失效可能、存在欠拟合风险。"	"IMPORTED__TEXT_REVIEW_OK"	"TEXT_EVIDENCE_IMPORTED__NO_OCR"
"SBKT_F005"	"batch1_v15_v16"	"v15"	"5"	"03_券商研报"	"03_机器学习"	"华泰人工智能系列28：基于量价的人工智能选股体系概览.pdf"	"D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列28：基于量价的人工智能选股体系概览.pdf"	"机器学习 / 选股体系"	"alpha"	"alpha / explanation（框架性 alpha 体系）"	"体系层 — “概览”意味着框架性总结，可能含多个子模块，但单模块深度待核"	"`[filename-derived]` 量价数据（OHLCV，推测含分钟或日频）、特征工程、标注数据"	"`[filename-derived]` 选股体系框架、子模型结构、组合信号、回测表现"	"作为华泰 AI 选股系列的索引级入口；若含完整链路，可作为策略搭建的参照蓝图"	"具体特征列表与频率；模型结构（树/神经网络/线性）；是否含端到端代码或仅框架图；组合权重方案"	"华泰系列 16（SBKT_F004，验证方法）、华泰系列 17（SBKT_F012，数据标注）、华泰系列 30（SBKT_F013，因果推断）"	"待核 — 与 SBKT_F003（教材）在“量价特征”章节可能重叠；与 SBKT_F012 在“标注”环节可能重叠"	"把“概览”当作可直接跑通的完整系统；忽略框架中某些模块需要额外数据（Level-2/NLP）"	"文件名含“体系概览”与“系列 28”，推断为框架性总结报告。正文未读取。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
"SBKT_F006"	"batch1_v15_v16"	"v15"	"6"	"03_券商研报"	"04_多因子"	"华泰多因子系列6：单因子测试之波动率类因子.pdf"	"D:\Stock\cut_file\S\03_券商研报\04_多因子\华泰多因子系列6：单因子测试之波动率类因子.pdf"	"多因子 / 波动率 / 非冗余收缩"	"alpha / filter / shrink"	"alpha / filter（功能核心，有边界）"	"功能核心层  ENTER_FUNCTION_CORE_WITH_BOUNDARY；样本期 3~5 个月，2017/02 后样本外待核，7 高相关 -> 1 代表属于推断收缩"	"个股日收益率序列（近N个月，N=1,3,6,12等，正文主要测试3-5个月） | 市场收益率序列（中证全指日收益率，用于CAPM/Fama-French回归） | 规模因子日收益率、BP因子日收益率（用于Fama-French三因子回归残差） | 日内最高价/最低价/前收盘价（用于high_r_std_Nm和hml_r_std_Nm） | 复权处理（用于日内最大涨跌幅计算） | 行业分类（29个一级行业，用于行业差异分析和中性化测试） | 市值数据（用于市值相关性分析和分层测试） | 交易成本：分层回测单边换手率0.3%"	"8个波动率因子的分层回测净值（分十层） | 分年收益及排名、不同市值区间绩效、不同行业绩效 | 回归法：因子收益率序列、t值序列、|t|>2占比 | IC值分析：IC序列、IR比率、累积曲线 | 因子间相关性矩阵（36个月相关强度、均值、标准差） | 与前期因子（估值、成长、动量、换手率）的汇总对比 | 核心绩效：样本期3-5个月较佳，TOP组合年化收益约28%，扣除交易成本后BP因子更突出（换手低），波动率因子整体逊于动量反转、略优于估值成长"	"作为三对象链路第二层的波动率非冗余风险过滤，用 id2_std_3m + hml_r_std_5m 剔除高特质波动率，同时保留日内不对称信息；单向多头增强时与 SBKT_F014 联用最稳"	"把 2 因子最小集合误写成正文原话 | 忽略 2017/02 后样本外待核 | 直接保留 7 个高相关波动率因子 | 在极端行情下不加尾部验证就上线"	"SBKT_F014（第一层资金流向候选池）、SBKT_F002（第三层空头端验证，仅多空策略时启用）"	"与SBKT_F002（长江主动成交占比）在""波动率相关性""上重叠：SBKT_F002明确与波动率因子相关性高 | 与SBKT_F014（华泰资金流向）在""传统量价因子对比""上重叠：SBKT_F014将波动率作为传统量价因子之一进行对比 | 与广发多因子系列（SBKT_F008/F016）在""波动率/非线性""方向可能存在方法论重叠，但正文未直接对比"	"在组合里重复暴露多个高相关波动率因子 | 忽略 hml_r_std_5m 的独立信息源角色 | 把 7 高相关 -> 1 代表当成正文直接裁决 | 在单向多头组合中把它误当作独立进攻 alpha"	"round3 功能核心固化结论：功能核心名称为波动率非冗余最小集合（id2_std_3m + hml_r_std_5m），升级决策 ENTER_FUNCTION_CORE_WITH_BOUNDARY。正文直接支持 hml_r_std_5m 独立、其余 7 个高相关；7 高相关 -> 1 代表来自既有收缩继续固化的推断。核心边界：样本期 3~5 个月，2017/02 后样本外待核，共线性红线不可忽略。"	"IMPORTED__ROUND3_CORE_OK"	"TEXT_EVIDENCE_IMPORTED__ROUND3_CORE_SOLIDIFIED"
"SBKT_F007"	"batch1_v15_v16"	"v15"	"7"	"03_券商研报"	"04_多因子"	"国盛多因子系列13：基金重仓股研究.pdf"	"D:\Stock\cut_file\S\03_券商研报\04_多因子\国盛多因子系列13：基金重仓股研究.pdf"	"多因子 / 机构行为 / 选股池筛选"	"alpha / filter（通过筛选重仓股构建超额收益股票池，再纳入增强组合）"	"alpha / filter（核心为筛选股票池+纳入增强组合，非独立交易信号）"	"方法层 — 含明确筛选逻辑和组合构建方法，但2017年前后风格差异大，策略表现高度依赖市场风格匹配度；且仅使用季报前十大重仓股，信息不完整"	"基金样本：偏股混合型+普通股票型基金（剔除被动指数、指数增强、主动量化） | 基金季报前十大重仓股数据（季度结束后15个工作日内公告） | 基金规模数据（所有份额之和，仅保留A类份额） | 基金历史业绩数据（过去12个月收益率、夏普比） | Sharpe资产因子模型：沪深300价值/成长、中证500价值/成长、中证1000、中债总财富（1-3年/5-7年/10年以上）、现金 | 股票风格因子：Barra基本面风格因子（growth, earnings_yield, size, leverage, value等） | 股票行业分类（29个一级行业） | 持仓特征因子：Topten_mean, Topten_max, Topten_count, Topten_value_weight, Topten_to_float_ashare, delta_value_weight, delta_to_float_ashare | 预测目标：股票残差收益（对风格和行业因子加权回归后的残差） | 回测区间：2011-2020年6月"	"不同维度筛选的基金重仓股组合净值（按基金业绩/alpha/夏普比/换手率/规模分组） | 重仓股在不同风格/行业中的超额收益对比（2017年前后分段） | 持仓因子测试结果（IC、多头收益） | 筛选股票池的因子暴露和行业暴露 | 纳入增强组合后的分年表现、超额收益净值、业绩归因 | 核心结论： | - 业绩越好基金重仓股超额收益越高，头部效应显著 | - 2017年前：小票/成长风格超额更多；2017年后：高估值板块超额更多 | - TMT/中游行业持续超额，上游/券商/军工几乎无稳定超额 | - 持仓市值占流通市值比例及其季度环比变化（delta_to_float_ashare）预测效果较好 | - 纳入增强组合：2017年以来提升明显，2017年前反而降低原策略表现"	"作为机构行为方向的选股池缩小工具（filter），从公募重仓股中筛选高预期超额收益股票 | 作为指数增强策略的权重约束模块：通过增加筛选股票池的权重，提升2017年以来的增强效果 | 作为风格监测工具：通过观察重仓股风格暴露（growth/value/size）判断当前市场机构主导风格"	"直接使用全部基金重仓股作为买入名单（平均700-1000只，表现不稳定，需筛选） | 2017年前的独立使用（2017年前纳入增强组合反而降低表现，因风格冲突） | 实时跟踪（仅使用季报前十大重仓股，信息滞后15个工作日，且非完整持仓） | 与ETF/北向资金持仓的区分和融合（正文未涉及） | 换手率较高的基金重仓股跟踪（信息滞后更严重，但正文发现高换手基金在业绩前20%中影响不显著） | 规模过小基金的重仓股（后20%规模基金单独持有的重仓股2017年后稳定负超额，需剔除） | 跨季度风格持续性假设（正文指出风格画像随时间变化，2017年为分界点）"	"指数增强策略（作为权重约束模块）、SBKT_F009/F010（高频持仓推断，可交叉验证低频季报结论）、Barra风格因子模型（用于残差收益计算和风格监测）"	"与SBKT_F009（海通高频跟踪公募持仓）和SBKT_F010（国泰君安监测机构动向）在""机构持仓/动向""主题上重叠，但 SBKT_F007 为低频季报分析，SBKT_F009/F010 为高频数据推断，方法论互补 | 与SBKT_F014（华泰资金流向）在""机构资金行为""上存在间接关联，但正文未直接对比"	"把全部重仓股列表当作可直接买入名单（忽略筛选和风格冲突） | 忽略2017年前后的风格切换（2017年前小票成长有效，2017年后高估值有效，策略非稳健） | 忽略季报披露滞后（15个工作日）和仅前十大重仓股的信息损失 | 把机构抱团当作持续alpha（忽略反转风险和拥挤风险） | 在风格不匹配时强行纳入增强组合（2017年前反而降低表现） | 忽略规模过小基金的重仓股负超额风险（需剔除后20%规模基金）"	"正文以残差收益为预测目标，剥离风格行业影响，从基金特征、股票特征、持仓特征三维度筛选。核心发现：基金业绩分组具有单调性，头部20%基金重仓股超额显著；delta_to_float_ashare（持仓市值占流通市值比例季度环比变化）预测效果较好；纳入增强组合在2017年后提升明显。明确数据限制：仅季报前十大重仓股，年报半年报因滞后性不考虑。"	"IMPORTED__TEXT_REVIEW_OK"	"TEXT_EVIDENCE_IMPORTED__NO_OCR"
"SBKT_F008"	"batch1_v15_v16"	"v15"	"8"	"03_券商研报"	"04_多因子"	"广发多因子系列12：从ICIR角度探讨风格因子的均值回复性.pdf"	"D:\Stock\cut_file\S\03_券商研报\04_多因子\广发多因子系列12：从ICIR角度探讨风格因子的均值回复性.pdf"	"多因子 / 风格因子 / 因子择时"	"alpha / risk（均值回复性可用于因子择时或风险预警）"	"alpha / risk（若用于因子择时，属 alpha；若用于规避因子拥挤，属 risk）"	"方法层 — 主题为“均值回复性”，通常涉及时间序列建模，但具体模型与参数待核"	"`[filename-derived]` 风格因子收益率序列（日频/月频）、IC/IR 滚动窗口、均值回复时间尺度"	"`[filename-derived]` 均值回复半衰期、ICIR 预测值、因子择时信号、风格切换概率"	"作为因子择时模块的输入；可用于动态调整风格因子暴露；可验证常见风格因子（市值/价值/动量/质量）的回复周期"	"具体风格因子列表；均值回复的计量模型（AR/OU/简单滚动均值）；样本外预测胜率；与 SBKT_F015（攻守因子配置）的互补或冲突"	"国盛因子择时（SBKT_F015，攻守配置）、华泰波动率（SBKT_F006，单因子测试）、广发非线性（SBKT_F016）"	"待核 — 与 SBKT_F015 均涉及“因子择时/配置”，但视角（ICIR 均值回复 vs 风险溢价时钟）不同，需正文确认差异"	"把历史均值回复规律当作未来确定性；在回复期未结束时过早反向押注；忽略结构性变化导致的回复规律消失"	"文件名明确为“从 ICIR 角度探讨风格因子的均值回复性”，属于因子择时/风格研究。正文未读取。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
"SBKT_F009"	"batch1_v15_v16"	"v16"	"1"	"03_券商研报"	"01_高频微观"	"20210428-海通证券-高频数据应用系列研究（一）：使用高频数据跟踪核心资产的公募基金持仓变化.pdf"	"D:\Stock\cut_file\S\03_券商研报\01_高频微观\20210428-海通证券-高频数据应用系列研究（一）：使用高频数据跟踪核心资产的公募基金持仓变化.pdf"	"高频微观 / 资金流向 / 持仓推断"	"alpha / filter"	"alpha / filter（通过推断持仓变化生成信号或筛选池）"	"方法层 — 有明确应用场景（跟踪公募持仓），但推断精度与数据频率要求待核"	"`[filename-derived]` 高频交易数据（推测为分钟或日内的委托/成交片段）、核心资产成分、公募基金历史持仓披露"	"`[filename-derived]` 持仓变化推断指标、偏离度信号、调仓频率估计"	"作为观察机构调仓动向的辅助工具；可作为事件驱动或资金流信号的输入"	"确认高频数据的具体频率（Level-2/ tick / 分钟）；推断方法的误差率与假阳性率；与官方披露持仓的对照验证"	"资金流向因子（SBKT_F014）、基金重仓股研究（SBKT_F007）"	"待核 — 与 SBKT_F010（算法交易监测机构动向）可能在“机构动向”主题上重叠"	"把高频推断持仓当作真实持仓；忽略公募季报披露与推断之间的时滞误差"	"文件名含“高频数据应用系列研究（一）”，推断为方法型应用报告。正文未读取。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
"SBKT_F010"	"batch1_v15_v16"	"v16"	"2"	"03_券商研报"	"01_高频微观"	"20210730-国泰君安-算法交易系列二：利用高频数据监测机构动向.pdf"	"D:\Stock\cut_file\S\03_券商研报\01_高频微观\20210730-国泰君安-算法交易系列二：利用高频数据监测机构动向.pdf"	"高频微观 / 算法交易 / 机构监测"	"execution / filter"	"execution / filter（偏执行与监测，非直接定价 alpha）"	"方法层 — 系列化报告（第二篇），但“监测机构动向”的具体准确率待核"	"待核 — 推测为高频委托/成交数据、算法交易特征识别规则"	"待核 — 可能为机构动向评分、异常交易标记、压力/支撑识别"	"作为市场微观结构监测模块；若含可识别的大单拆分/冰山订单特征，可用于执行优化"	"具体监测规则与阈值；是否适用于 A 股当前全市场还是仅针对特定板块；与 SBKT_F009 的功能边界划分"	"待核 — 若含订单流分析，可与 Volume Profile / 订单流模型组合"	"待核 — 与 SBKT_F009 均涉及高频数据+机构行为，需正文比对以确认差异"	"把监测到的异常信号直接当作交易信号，不做独立验证；混淆机构调仓与算法拆单"	"文件名含“算法交易系列二”与“监测机构动向”，推断为偏向执行与监测的应用报告。正文未读取。"	"IMPORTED__FILENAME_ONLY_DRAFT"	"DRAFT_ONLY__NEEDS_TEXT_READ"
