batch_id	src_path	md_path	encoding	cluster_id	cluster_name
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-04_期货_趋势_动量系统\01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.md	gb18030	TX-04	期货/趋势/动量系统
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\02 我好像破解了聚宽擂台排第一的策略？！.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-07_杂项_练习_待筛\02 我好像破解了聚宽擂台排第一的策略？！.md	gb18030	TX-07	杂项/练习/向导/待筛
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\03 机器学习多因子策略.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-02_因子_价值_财务_ML\03 机器学习多因子策略.md	gb18030	TX-02	因子/价值/财务/机器学习
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-04_期货_趋势_动量系统\04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.md	gb18030	TX-04	期货/趋势/动量系统
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\05 兄台且慢，去天台排队不如看看这个策略先.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-07_杂项_练习_待筛\05 兄台且慢，去天台排队不如看看这个策略先.md	gb18030	TX-07	杂项/练习/向导/待筛
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\06 为什么股票市值是当前的样子？.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-07_杂项_练习_待筛\06 为什么股票市值是当前的样子？.md	gb18030	TX-07	杂项/练习/向导/待筛
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\07 穿越牛熊基业长青的价值精选策略.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-02_因子_价值_财务_ML\07 穿越牛熊基业长青的价值精选策略.md	gb18030	TX-02	因子/价值/财务/机器学习
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\08 MACD单因子多头策略.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-02_因子_价值_财务_ML\08 MACD单因子多头策略.md	gb18030	TX-02	因子/价值/财务/机器学习
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-04_期货_趋势_动量系统\09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.md	gb18030	TX-04	期货/趋势/动量系统
20260615_txt_to_md_0666ebd8ac	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\10 追三板策略.txt	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\05_txt源码_md归档\TX-07_杂项_练习_待筛\10 追三板策略.md	gb18030	TX-07	杂项/练习/向导/待筛
