lifted_rel_path	target_rel_path	action	conflict_rel_path	final_decision
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/度量市场“恐惧与贪婪”的量化择时指标.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/度量市场“恐惧与贪婪”的量化择时指标.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/通过产业资本增减持数据构建的量化择时指标.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/通过产业资本增减持数据构建的量化择时指标.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化择时 3份/量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在工程机械行业的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在工程机械行业的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在煤炭行业的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在煤炭行业的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在电力行业的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在电力行业的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在钢铁行业的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业基本面预测模型/行业基本面预测——在钢铁行业的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/基于板块效应动量反转特征的alpha策略研究.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/基于板块效应动量反转特征的alpha策略研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/基于涨跌比的行业轮动与择时研究.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/基于涨跌比的行业轮动与择时研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/妙用涨跌比，小盘指数巧择时.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/妙用涨跌比，小盘指数巧择时.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
